seq,t1,t2,t3,rttMs,rawOffsetMs,filteredOffsetMs,phase
0,1775746311338,1775746310565,1775746311393,55,-800,,init
1,1775746311472,1775746310685,1775746311504,32,-803,,init
2,1775746311574,1775746310784,1775746311601,27,-803,,init
3,1775746311684,1775746310881,1775746311698,14,-810,,init
4,1775746311786,1775746310987,1775746311806,20,-809,,init
5,1775746311889,1775746311084,1775746311911,22,-816,,init
6,1775746311991,1775746311186,1775746312003,12,-811,,init
7,1775746312092,1775746311286,1775746312104,12,-812,,init
8,1775746312210,1775746311403,1775746312230,20,-817,,init
9,1775746312312,1775746311506,1775746312327,15,-813,,init
10,1775746313926,1775746313122,1775746313942,16,-812,-812.000,steady
11,1775746314945,1775746314142,1775746314959,14,-810,-811.800,steady
12,1775746315933,1775746315185,1775746316035,102,-799,-811.620,steady
13,1775746316925,1775746316120,1775746316938,13,-811,-811.558,steady
14,1775746317926,1775746317119,1775746317939,13,-813,-811.702,steady
15,1775746318953,1775746318147,1775746318976,23,-817,-811.832,steady
16,1775746319927,1775746319128,1775746319947,20,-809,-811.949,steady
17,1775746320925,1775746320204,1775746321028,103,-772,-812.054,steady
18,1775746321926,1775746321129,1775746321947,21,-807,-812.149,steady
19,1775746322945,1775746322140,1775746322957,12,-811,-812.034,steady
20,1775746323926,1775746323188,1775746324057,131,-803,-811.930,steady
21,1775746324931,1775746324128,1775746324947,16,-811,-811.837,steady
22,1775746325928,1775746325122,1775746325941,13,-812,-811.754,steady
23,1775746326943,1775746326141,1775746326959,16,-810,-811.678,steady
24,1775746327932,1775746327148,1775746327968,36,-802,-811.710,steady
25,1775746328926,1775746328194,1775746329024,98,-781,-811.739,steady
26,1775746329927,1775746329126,1775746329945,18,-810,-811.765,steady
27,1775746330925,1775746330138,1775746330955,30,-802,-811.589,steady
28,1775746331925,1775746331121,1775746331938,13,-810,-811.430,steady
29,1775746332925,1775746332160,1775746332979,54,-792,-811.287,steady
30,1775746333926,1775746333121,1775746333941,15,-812,-811.158,steady
31,1775746334925,1775746334123,1775746334941,16,-810,-811.042,steady
32,1775746335927,1775746335123,1775746335941,14,-811,-810.938,steady
33,1775746336927,1775746336124,1775746336942,15,-810,-810.944,steady
34,1775746337926,1775746337203,1775746338023,97,-771,-810.950,steady
35,1775746338925,1775746338127,1775746338944,19,-807,-810.955,steady
36,1775746339947,1775746339152,1775746339970,23,-806,-810.959,steady
37,1775746340937,1775746340189,1775746341015,78,-787,-810.864,steady
38,1775746341925,1775746341195,1775746342011,86,-773,-810.477,steady
39,1775746342926,1775746342223,1775746343042,116,-761,-810.129,steady
40,1775746343925,1775746343145,1775746343965,40,-800,-809.716,steady
41,1775746344925,1775746344178,1775746345008,83,-788,-808.745,steady
42,1775746345926,1775746345190,1775746346013,87,-779,-807.870,steady
43,1775746346925,1775746346119,1775746346935,10,-811,-808.183,steady
44,1775746347944,1775746347138,1775746347956,12,-812,-808.465,steady
45,1775746348926,1775746348118,1775746348936,10,-813,-808.918,steady
46,1775746349926,1775746349173,1775746350007,81,-793,-809.327,steady
47,1775746350926,1775746350207,1775746351023,97,-767,-809.694,steady
48,1775746351926,1775746351128,1775746351948,22,-809,-810.025,steady
49,1775746352926,1775746352125,1775746352942,16,-809,-810.322,steady
50,1775746353926,1775746353120,1775746353937,11,-811,-810.390,steady
51,1775746354926,1775746354118,1775746354936,10,-813,-810.651,steady
52,1775746355926,1775746355123,1775746355942,16,-811,-810.886,steady
53,1775746356926,1775746356122,1775746356941,15,-811,-811.097,steady
54,1775746357926,1775746357180,1775746358009,83,-787,-811.288,steady
55,1775746358926,1775746358119,1775746358938,12,-813,-811.459,steady
56,1775746359926,1775746359123,1775746359941,15,-810,-811.613,steady
57,1775746360926,1775746360122,1775746360940,14,-811,-811.752,steady
58,1775746361926,1775746361184,1775746362025,99,-791,-811.876,steady
59,1775746362925,1775746362190,1775746363008,83,-776,-811.989,steady
60,1775746363926,1775746363122,1775746363940,14,-811,-811.890,steady
61,1775746364928,1775746364122,1775746364939,11,-811,-811.801,steady
62,1775746365926,1775746365158,1775746365974,48,-792,-811.721,steady
63,1775746366934,1775746366192,1775746367009,75,-779,-811.649,steady
64,1775746367926,1775746367207,1775746368026,100,-769,-811.584,steady
65,1775746368926,1775746368234,1775746369055,129,-756,-811.525,steady
66,1775746369948,1775746369156,1775746369973,25,-804,-810.773,steady
67,1775746370926,1775746370184,1775746371022,96,-790,-810.096,steady
68,1775746371926,1775746371200,1775746372028,102,-777,-809.486,steady
69,1775746372926,1775746372119,1775746372936,10,-812,-809.737,steady
70,1775746373930,1775746373131,1775746373951,21,-809,-809.964,steady
71,1775746374926,1775746374154,1775746374981,55,-799,-810.167,steady
72,1775746375926,1775746375119,1775746375935,9,-811,-810.251,steady
73,1775746376925,1775746376220,1775746377036,111,-760,-810.326,steady
74,1775746377926,1775746377121,1775746377939,13,-811,-810.393,steady
75,1775746378940,1775746378137,1775746378955,15,-810,-810.454,steady
76,1775746379930,1775746379179,1775746380015,85,-793,-810.508,steady
77,1775746380926,1775746380214,1775746381032,106,-765,-810.557,steady
78,1775746381926,1775746381137,1775746381958,32,-805,-810.602,steady
79,1775746382925,1775746382160,1775746382977,52,-791,-810.542,steady
80,1775746383926,1775746383122,1775746383942,16,-812,-810.687,steady
81,1775746384926,1775746384207,1775746385024,98,-768,-810.819,steady
82,1775746385925,1775746385130,1775746385948,23,-806,-810.937,steady
83,1775746386930,1775746386127,1775746386949,19,-812,-811.043,steady
84,1775746387926,1775746387123,1775746387944,18,-812,-811.139,steady
85,1775746388928,1775746388200,1775746389018,90,-773,-811.225,steady
86,1775746389926,1775746389122,1775746389941,15,-811,-811.202,steady
87,1775746390926,1775746390123,1775746390942,16,-811,-811.182,steady
88,1775746391926,1775746391123,1775746391940,14,-810,-811.064,steady
89,1775746392931,1775746392192,1775746393009,78,-778,-810.958,steady
90,1775746393926,1775746393218,1775746394038,112,-764,-810.862,steady
91,1775746394937,1775746394131,1775746394953,16,-814,-810.776,steady
92,1775746395926,1775746395171,1775746396016,90,-800,-810.698,steady
93,1775746396926,1775746396186,1775746397005,79,-779,-811.028,steady
94,1775746397926,1775746397136,1775746397953,27,-803,-811.325,steady
95,1775746398925,1775746398134,1775746398952,27,-804,-811.593,steady
96,1775746399926,1775746399159,1775746400013,87,-810,-810.834,steady
97,1775746400926,1775746400185,1775746401003,77,-779,-810.150,steady
98,1775746401926,1775746401203,1775746402022,96,-771,-809.535,steady
99,1775746402926,1775746402153,1775746402973,47,-796,-808.982,steady
