seq,hostTimeMs,rxWallMs,anchorFramePos,anchorTimeNs,framePos,timeNs,playing
0,1775783363387,1775783363880,4368,1009794167902809,18960,1009794471910205,1
1,1775783363879,1775783364276,4368,1009794167902809,42624,1009794964732132,1
2,1775783364338,1775783364793,4368,1009794167902809,64608,1009795423043590,1
3,1775783364842,1775783365301,4368,1009794167902809,88848,1009795927847705,1
4,1775783365397,1775783365795,4368,1009794167902809,115488,1009796482839892,1
5,1775783365852,1775783366320,4368,1009794167902809,137280,1009796937075360,1
6,1775783366357,1775783366831,4368,1009794167902809,161520,1009797442217287,1
7,1775783366861,1775783367345,4368,1009794167902809,185760,1009797946566662,1
8,1775783367367,1775783367856,4368,1009794167902809,210000,1009798451894683,1
9,1775783367870,1775783368368,4368,1009794167902809,234192,1009798955633224,1
10,1775783368374,1775783368891,4368,1009794167902809,258384,1009799459760516,1
11,1775783368878,1775783369296,4368,1009794167902809,282528,1009799962959682,1
12,1775783369384,1775783369727,4368,1009794167902809,306816,1009800469120672,1
13,1775783369887,1775783370319,4368,1009794167902809,331008,1009800972862338,1
14,1775783370342,1775783370825,4368,1009794167902809,352848,1009801427741765,1
15,1775783370846,1775783371339,4368,1009794167902809,377040,1009801931661400,1
16,1775783371352,1775783371849,4368,1009794167902809,401328,1009802437821087,1
17,1775783371855,1775783372363,4368,1009794167902809,425472,1009802940345358,1
18,1775783372360,1775783372771,4368,1009794167902809,449712,1009803445799889,1
19,1775783372865,1775783373391,4368,1009794167902809,473952,1009803950669993,1
20,1775783373372,1775783373795,4368,1009794167902809,498240,1009804456899941,1
21,1775783373876,1775783374309,4368,1009794167902809,522480,1009804961315097,1
22,1775783374381,1775783374822,4368,1009794167902809,546720,1009805466784628,1
23,1775783374888,1775783375334,4368,1009794167902809,571056,1009805973443951,1
24,1775783375341,1775783375851,4368,1009794167902809,592752,1009806426033534,1
25,1775783375845,1775783376357,4368,1009794167902809,616992,1009806930789888,1
26,1775783376349,1775783376767,4368,1009794167902809,641184,1009807434798325,1
27,1775783376854,1775783377396,4368,1009794167902809,665424,1009807939834419,1
28,1775783377357,1775783377795,4368,1009794167902809,689568,1009808442826502,1
29,1775783377864,1775783378303,4368,1009794167902809,713856,1009808948928325,1
30,1775783378369,1775783378800,4368,1009794167902809,738144,1009809454407595,1
31,1775783378873,1775783379327,4368,1009794167902809,762336,1009809958344626,1
32,1775783379377,1775783379839,4368,1009794167902809,786480,1009810462211657,1
33,1775783379883,1775783380352,4368,1009794167902809,810816,1009810968633845,1
34,1775783380389,1775783380861,4368,1009794167902809,835056,1009811473977490,1
35,1775783380843,1775783381373,4368,1009794167902809,856896,1009811928580042,1
36,1775783381349,1775783381795,4368,1009794167902809,881136,1009812434008688,1
37,1775783381855,1775783382294,4368,1009794167902809,905472,1009812940269886,1
38,1775783382359,1775783382807,4368,1009794167902809,929664,1009813444598844,1
39,1775783382865,1775783383319,4368,1009794167902809,953904,1009813950033948,1
40,1775783383370,1775783383832,4368,1009794167902809,978192,1009814455346916,1
41,1775783383875,1775783384345,4368,1009794167902809,1002432,1009814960348010,1
42,1775783384380,1775783384854,4368,1009794167902809,1026672,1009815465351499,1
43,1775783384885,1775783385369,4368,1009794167902809,1050912,1009815970299520,1
44,1775783385341,1775783385897,4368,1009794167902809,1072800,1009816426428790,1
45,1775783385847,1775783386293,4368,1009794167902809,1097088,1009816932465561,1
46,1775783386149,1775783386598,4368,1009794167902809,1111584,1009817234503009,0
0,1775783390706,1775783391104,4944,1009821497769466,19008,1009821791626913,1
1,1775783391196,1775783391579,4944,1009821497769466,42528,1009822281047642,1
2,1775783391665,1775783392127,4944,1009821497769466,65040,1009822750409778,1
3,1775783392220,1775783392660,4944,1009821497769466,91680,1009823305215298,1
4,1775783392674,1775783393059,4944,1009821497769466,113472,1009823759272850,1
5,1775783393179,1775783393576,4944,1009821497769466,137712,1009824264571548,1
6,1775783393685,1775783394173,4944,1009821497769466,162000,1009824769988839,1
7,1775783394189,1775783394572,4944,1009821497769466,186192,1009825274461704,1
8,1775783394694,1775783395098,4944,1009821497769466,210432,1009825779581808,1
9,1775783394896,1775783395401,4944,1009821497769466,220128,1009825981219828,0
0,1775783397236,1775783397686,4704,1009828016967067,19344,1009828321752223,1
1,1775783397736,1775783398177,4704,1009828016967067,43344,1009828821730452,1
2,1775783398235,1775783398680,4704,1009828016967067,67248,1009829320365869,1
3,1775783398538,1775783399088,4704,1009828016967067,81840,1009829623667067,0
0,1775783400082,1775783400495,4896,1009830871676858,19104,1009831167457170,1
1,1775783400584,1775783401035,4896,1009830871676858,43200,1009831669505660,1
2,1775783401084,1775783401493,4896,1009830871676858,67200,1009832169891024,1
3,1775783401539,1775783402058,4896,1009830871676858,88992,1009832623907482,1
4,1775783402045,1775783402496,4896,1009830871676858,113328,1009833130123263,1
5,1775783402248,1775783402877,4896,1009830871676858,123072,1009833333153367,0
0,1775783402763,1775783403288,4608,1009833848101700,4608,1009833848101700,0
0,1775783403875,1775783404314,4656,1009834666378315,18720,1009834959946804,1
1,1775783404381,1775783404843,4656,1009834666378315,43056,1009835466678992,1
2,1775783404841,1775783405338,4656,1009834666378315,65136,1009835926262168,1
