seq,t1,t2,t3,rttMs,rawOffsetMs,filteredOffsetMs,phase
0,1775783361933,1775783361753,1775783362051,118,-239,,init
1,1775783362036,1775783361812,1775783362054,18,-233,,init
2,1775783362137,1775783361912,1775783362161,24,-237,,init
3,1775783362242,1775783362016,1775783362276,34,-243,,init
4,1775783362347,1775783362133,1775783362376,29,-228,,init
5,1775783362450,1775783362233,1775783362480,30,-232,,init
6,1775783362552,1775783362333,1775783362573,21,-229,,init
7,1775783362654,1775783362429,1775783362686,32,-241,,init
8,1775783362758,1775783362539,1775783362782,24,-231,,init
9,1775783362860,1775783362636,1775783362889,29,-238,,init
10,1775783364471,1775783364346,1775783364714,243,-246,-234.300,steady
11,1775783365471,1775783365373,1775783365705,234,-215,-232.370,steady
12,1775783366471,1775783366294,1775783366570,99,-226,-231.733,steady
13,1775783367485,1775783367322,1775783367597,112,-219,-231.160,steady
14,1775783368471,1775783368244,1775783368557,86,-270,-235.044,steady
15,1775783369471,1775783369369,1775783369698,227,-215,-238.539,steady
16,1775783370471,1775783370286,1775783370621,150,-260,-241.685,steady
17,1775783371471,1775783371335,1775783371599,128,-200,-244.517,steady
18,1775783372471,1775783372259,1775783372499,28,-226,-242.665,steady
19,1775783373472,1775783373262,1775783373504,32,-226,-240.999,steady
20,1775783374471,1775783374282,1775783374572,101,-239,-239.499,steady
21,1775783375488,1775783375322,1775783375598,110,-221,-238.149,steady
22,1775783376471,1775783376258,1775783376508,37,-231,-236.934,steady
23,1775783377471,1775783377253,1775783377564,93,-264,-235.841,steady
24,1775783378471,1775783378377,1775783378716,245,-216,-235.357,steady
25,1775783379471,1775783379316,1775783379572,101,-205,-234.921,steady
26,1775783380471,1775783380326,1775783380569,98,-194,-234.529,steady
27,1775783381471,1775783381245,1775783381503,32,-242,-235.276,steady
28,1775783382471,1775783382259,1775783382499,28,-226,-234.348,steady
29,1775783383471,1775783383292,1775783383571,100,-229,-233.514,steady
30,1775783384471,1775783384324,1775783384569,98,-196,-232.762,steady
31,1775783385471,1775783385246,1775783385560,89,-269,-232.086,steady
32,1775783386471,1775783386363,1775783386736,265,-240,-231.477,steady
33,1775783387473,1775783387329,1775783387574,101,-194,-235.230,steady
34,1775783388472,1775783388456,1775783388727,255,-143,-238.607,steady
35,1775783389475,1775783389412,1775783389668,193,-159,-241.646,steady
36,1775783390476,1775783390362,1775783390606,130,-179,-236.881,steady
37,1775783391472,1775783391336,1775783391586,114,-193,-232.593,steady
38,1775783392471,1775783392303,1775783392575,104,-220,-231.334,steady
39,1775783393473,1775783393338,1775783393602,129,-199,-230.201,steady
40,1775783394471,1775783394332,1775783394603,132,-205,-229.180,steady
41,1775783395534,1775783395376,1775783395633,99,-207,-226.962,steady
42,1775783396474,1775783396264,1775783396512,38,-229,-227.166,steady
43,1775783397473,1775783397334,1775783397661,188,-233,-227.350,steady
44,1775783398487,1775783398344,1775783398783,296,-291,-227.515,steady
45,1775783399474,1775783399371,1775783399710,236,-221,-227.663,steady
46,1775783400473,1775783400290,1775783400646,173,-269,-227.797,steady
47,1775783401478,1775783401278,1775783401525,47,-223,-227.317,steady
48,1775783402476,1775783402291,1775783402581,105,-237,-226.885,steady
49,1775783403473,1775783403327,1775783403577,104,-198,-226.497,steady
50,1775783404475,1775783404287,1775783404592,117,-246,-226.147,steady
51,1775783405488,1775783405314,1775783405591,103,-225,-225.832,steady
52,1775783406471,1775783406256,1775783406512,41,-235,-226.749,steady
53,1775783407473,1775783407357,1775783407692,219,-225,-227.574,steady
54,1775783408471,1775783408281,1775783408595,124,-252,-228.317,steady
55,1775783409490,1775783409286,1775783409528,38,-223,-227.785,steady
56,1775783410471,1775783410304,1775783410578,107,-220,-227.307,steady
57,1775783411471,1775783411266,1775783411564,93,-251,-226.876,steady
58,1775783412471,1775783412277,1775783412577,106,-247,-226.488,steady
59,1775783413471,1775783413295,1775783413574,103,-227,-226.140,steady
60,1775783414471,1775783414253,1775783414560,89,-262,-229.726,steady
61,1775783415472,1775783415258,1775783415562,90,-259,-232.953,steady
62,1775783416472,1775783416272,1775783416581,109,-254,-235.858,steady
63,1775783417472,1775783417289,1775783417575,103,-234,-238.472,steady
64,1775783418471,1775783418257,1775783418496,25,-226,-237.225,steady
65,1775783419487,1775783419338,1775783419672,185,-241,-236.102,steady
66,1775783420472,1775783420376,1775783420694,222,-207,-235.092,steady
67,1775783421472,1775783421265,1775783421575,103,-258,-234.183,steady
68,1775783422472,1775783422305,1775783422573,101,-217,-233.365,steady
69,1775783423479,1775783423253,1775783423509,30,-241,-234.128,steady
70,1775783424471,1775783424254,1775783424511,40,-237,-234.815,steady
71,1775783425472,1775783425274,1775783425524,52,-224,-235.434,steady
72,1775783426471,1775783426302,1775783426574,103,-220,-235.990,steady
73,1775783427473,1775783427255,1775783427499,26,-231,-235.491,steady
74,1775783428472,1775783428253,1775783428511,39,-238,-235.042,steady
75,1775783429471,1775783429378,1775783429709,238,-212,-234.638,steady
76,1775783430472,1775783430293,1775783430576,104,-231,-234.274,steady
77,1775783431472,1775783431278,1775783431575,103,-245,-233.947,steady
78,1775783432473,1775783432258,1775783432562,89,-259,-234.352,steady
79,1775783433472,1775783433388,1775783433702,230,-199,-236.817,steady
80,1775783434471,1775783434261,1775783434518,47,-233,-236.435,steady
81,1775783435471,1775783435312,1775783435557,86,-202,-236.092,steady
82,1775783436471,1775783436254,1775783436564,93,-263,-235.783,steady
83,1775783437471,1775783437378,1775783437694,223,-204,-235.504,steady
84,1775783438472,1775783438280,1775783438527,55,-219,-235.254,steady
85,1775783439471,1775783439282,1775783439546,75,-226,-233.628,steady
86,1775783440474,1775783440332,1775783440664,190,-237,-232.166,steady
87,1775783441471,1775783441356,1775783441688,217,-223,-230.849,steady
88,1775783442471,1775783442259,1775783442513,42,-233,-231.064,steady
89,1775783443472,1775783443299,1775783443573,101,-223,-231.258,steady
90,1775783444481,1775783444252,1775783444497,16,-237,-231.832,steady
91,1775783445472,1775783445251,1775783445505,33,-237,-232.349,steady
92,1775783446472,1775783446387,1775783446706,234,-202,-232.814,steady
93,1775783447472,1775783447293,1775783447579,107,-232,-233.232,steady
94,1775783448471,1775783448250,1775783448503,32,-237,-233.609,steady
95,1775783449472,1775783449249,1775783449558,86,-266,-233.948,steady
96,1775783450472,1775783450370,1775783450700,228,-216,-234.253,steady
97,1775783451472,1775783451285,1775783451576,104,-239,-234.528,steady
98,1775783452471,1775783452269,1775783452573,102,-253,-234.775,steady
99,1775783453471,1775783453247,1775783453490,19,-233,-234.598,steady
100,1775783454471,1775783454255,1775783454570,99,-265,-234.438,steady
101,1775783455471,1775783455381,1775783455718,247,-213,-234.294,steady
102,1775783456471,1775783456259,1775783456574,103,-263,-234.165,steady
103,1775783457482,1775783457256,1775783457508,26,-239,-234.048,steady
104,1775783458472,1775783458253,1775783458567,95,-266,-234.543,steady
105,1775783459472,1775783459260,1775783459524,52,-238,-234.989,steady
106,1775783460472,1775783460283,1775783460576,104,-241,-235.390,steady
107,1775783461471,1775783461248,1775783461511,40,-243,-235.751,steady
108,1775783462471,1775783462247,1775783462496,25,-236,-235.776,steady
109,1775783463473,1775783463251,1775783463567,94,-269,-235.798,steady
