wallMs,obsHostFrame,obsHostTimeMs,guestFrame,filteredOffsetMs,expectedHostFrame,driftMs
1775744147404,425280,1775744146385,403682,-804.678,435567.4,-324.280
1775744147504,425280,1775744146385,408483,-804.678,440367.4,-324.259
1775744147610,425280,1775744146385,413377,-804.610,445458.7,-328.369
1775744147704,449616,1775744146885,418181,-804.610,450306.7,-329.285
1775744147804,449616,1775744146885,423076,-804.610,455106.7,-327.306
1775744147905,449616,1775744146885,427877,-804.610,459954.7,-328.285
1775744148004,449616,1775744146885,432771,-804.610,464706.7,-325.327
1775744148103,449616,1775744146885,437665,-804.610,469458.7,-322.369
1775744148204,449616,1775744146885,442468,-804.610,474306.7,-323.306
1775744148328,473808,1775744147385,447268,-804.610,480450.7,-351.306
1775744148404,473808,1775744147385,452163,-804.610,484098.7,-325.327
1775744148503,473808,1775744147385,456964,-804.610,488850.7,-324.306
1775744148623,473808,1775744147385,461859,-804.549,494613.6,-342.388
1775744148704,473808,1775744147385,466752,-804.549,498501.6,-321.451
1775744148804,498000,1775744147884,471651,-804.549,503541.6,-324.388
1775744148904,498000,1775744147884,476354,-804.549,508341.6,-326.409
1775744149004,498000,1775744147884,481253,-804.549,513141.6,-324.347
1775744149104,498000,1775744147884,486052,-804.549,517941.6,-324.367
1775744149204,498000,1775744147884,491041,-804.549,522741.6,-320.430
1775744149334,522192,1775744148385,495745,-804.549,529125.6,-355.430
1775744149406,522192,1775744148385,500545,-804.549,532581.6,-327.430
1775744149504,522192,1775744148385,505349,-804.549,537285.6,-325.347
1775744149603,522192,1775744148385,510242,-804.549,542037.6,-322.409
1775744149704,546432,1775744148883,515137,-804.494,547224.3,-328.485
1775744149804,546432,1775744148883,519941,-804.494,552024.3,-328.401
1775744149904,546432,1775744148883,524835,-804.494,556824.3,-326.443
1775744150003,546432,1775744148883,529729,-804.494,561576.3,-323.485
1775744150103,546432,1775744148883,534530,-804.494,566376.3,-323.464
1775744150203,546432,1775744148883,539330,-804.494,571176.3,-323.464
1775744150303,570624,1775744149383,544226,-804.494,576168.3,-325.464
1775744150403,570624,1775744149383,549120,-804.494,580968.3,-323.506
1775744150504,570624,1775744149383,553920,-804.494,585816.3,-324.506
1775744150603,570624,1775744149383,558720,-804.645,590561.0,-323.355
1775744150703,592464,1775744149883,563523,-804.645,593201.0,-278.292
1775744150804,592464,1775744149883,568417,-804.645,598049.0,-277.334
1775744150903,592464,1775744149883,573312,-804.645,602801.0,-274.355
1775744151004,592464,1775744149883,578209,-804.645,607649.0,-273.334
1775744151103,592464,1775744149883,578209,-804.645,612401.0,-372.334
1775744151204,616656,1775744150383,583008,-804.645,617441.0,-377.355
1775744151303,616656,1775744150383,587812,-804.645,622193.0,-376.272
1775744151403,616656,1775744150383,592708,-804.645,626993.0,-374.272
1775744151503,616656,1775744150383,597601,-804.645,631793.0,-372.334
1775744151603,616656,1775744150383,602402,-804.780,636586.5,-372.178
1775744151703,616656,1775744150383,607202,-804.780,641386.5,-372.178
1775744151803,640944,1775744150883,612096,-804.780,646474.5,-376.219
1775744151903,640944,1775744150883,616992,-804.780,651274.5,-374.219
1775744152003,640944,1775744150883,621794,-804.780,656074.5,-374.178
1775744152103,640944,1775744150883,626689,-804.780,660874.5,-372.199
1775744152203,640944,1775744150883,631492,-804.780,665674.5,-372.136
1775744152303,665232,1775744151383,636385,-804.780,670762.5,-376.199
1775744152403,665232,1775744151383,641187,-804.780,675562.5,-376.157
1775744152503,665232,1775744151383,646080,-804.780,680362.5,-374.219
1775744152616,665232,1775744151383,650884,-804.902,685780.7,-387.014
1775744152703,689472,1775744151883,655777,-804.902,690196.7,-377.077
1775744152804,689472,1775744151883,660580,-804.902,695044.7,-378.014
1775744152904,689472,1775744151883,665472,-804.902,699844.7,-376.098
1775744153004,689472,1775744151883,670276,-804.902,704644.7,-376.014
1775744153105,689472,1775744151883,675076,-804.902,709492.7,-377.014
1775744153203,689472,1775744151883,679969,-804.902,714196.7,-373.077
1775744153337,713664,1775744152385,689666,-804.902,720724.7,-307.056
1775744153404,713664,1775744152385,689666,-804.902,723940.7,-374.056
1775744153504,713664,1775744152385,694469,-804.902,728740.7,-373.993
1775744153629,713664,1775744152385,704164,-805.012,734735.4,-296.904
1775744153724,737904,1775744152883,704164,-805.012,739631.4,-398.904
1775744153803,737904,1775744152883,709058,-805.012,743423.4,-375.946
1775744153904,737904,1775744152883,713858,-805.012,748271.4,-376.946
1775744154004,737904,1775744152883,718659,-805.012,753071.4,-376.925
1775744154104,737904,1775744152883,723552,-805.012,757871.4,-374.988
1775744154204,737904,1775744152883,728354,-805.012,762671.4,-374.946
1775744154303,762192,1775744153383,733248,-805.012,767711.4,-377.988
1775744154404,762192,1775744153383,738144,-805.012,772559.4,-376.988
1775744154504,762192,1775744153383,742945,-805.012,777359.4,-376.967
1775744154638,762192,1775744153383,752548,-805.111,783786.7,-310.806
1775744154704,786384,1775744153883,752548,-805.111,787146.7,-380.806
1775744154804,786384,1775744153883,757440,-805.111,791946.7,-378.889
1775744154904,786384,1775744153883,762336,-805.111,796746.7,-376.889
1775744155003,786384,1775744153883,767141,-805.111,801498.7,-375.785
1775744155104,786384,1775744153883,772035,-805.111,806346.7,-374.826
1775744155204,786384,1775744153883,776928,-805.111,811146.7,-372.889
1775744155304,810672,1775744154383,781732,-805.111,816234.7,-378.806
1775744155404,810672,1775744154383,786532,-805.111,821034.7,-378.806
1775744155504,810672,1775744154383,791427,-805.111,825834.7,-376.826
1775744155620,810672,1775744154383,796320,-805.200,831398.4,-390.800
1775744155703,834912,1775744154886,801125,-805.200,835478.4,-375.696
1775744155803,834912,1775744154886,806018,-805.200,840278.4,-373.758
1775744155904,834912,1775744154886,810912,-805.200,845126.4,-372.800
1775744156004,834912,1775744154886,815713,-805.200,849926.4,-372.779
1775744156104,834912,1775744154886,820609,-805.200,854726.4,-370.779
1775744156204,834912,1775744154886,825413,-805.200,859526.4,-370.696
1775744156311,856656,1775744155385,830309,-805.200,862454.4,-329.696
1775744156404,856656,1775744155385,835202,-805.200,866918.4,-320.758
1775744156503,856656,1775744155385,840098,-805.200,871670.4,-317.758
1775744156624,856656,1775744155385,844901,-805.080,877484.2,-338.816
1775744156704,856656,1775744155385,849793,-805.080,881324.2,-316.899
1775744156804,883344,1775744155885,854594,-805.080,888812.2,-372.878
1775744156903,883344,1775744155885,859395,-805.080,893564.2,-371.858
1775744157004,883344,1775744155885,864288,-805.080,898412.2,-370.920
1775744157104,883344,1775744155885,869089,-805.080,903212.2,-370.899
1775744157204,883344,1775744155885,873893,-805.080,908012.2,-370.816
1775744157332,905184,1775744156385,878787,-805.080,911996.2,-351.858
1775744157404,905184,1775744156385,883685,-805.080,915452.2,-321.816
1775744157504,905184,1775744156385,888576,-805.080,920252.2,-319.920
1775744157627,905184,1775744156385,893376,-804.972,926161.3,-343.028
1775744157704,905184,1775744156385,898178,-804.972,929857.3,-319.986
1775744157804,929424,1775744156885,902981,-804.972,934897.3,-324.924
1775744157903,929424,1775744156885,907874,-804.972,939649.3,-321.986
1775744158004,929424,1775744156885,912677,-804.972,944497.3,-322.924
1775744158103,929424,1775744156885,917568,-804.972,949249.3,-320.028
1775744158204,929424,1775744156885,922369,-804.972,954097.3,-321.007
1775744158304,953664,1775744157385,927173,-804.972,959137.3,-325.924
1775744158404,953664,1775744157385,932064,-804.972,963937.3,-324.028
1775744158504,953664,1775744157385,936866,-804.972,968737.3,-323.986
1775744158603,953664,1775744157385,941668,-804.972,973489.3,-322.945
1775744158704,953664,1775744157385,946561,-804.875,978342.0,-322.104
1775744158803,978000,1775744157885,951361,-804.875,983430.0,-328.104
1775744158903,978000,1775744157885,956162,-804.875,988230.0,-328.084
