wallMs,framePos,timeNs,ok
1775782023202,4320,8581607245891,1
1775782023306,9312,8581711324953,1
1775782023400,13872,8581805702089,1
1775782023504,18864,8581909748859,1
1775782023599,23424,8582004448703,1
1775782023703,28416,8582108755526,1
1775782023798,32976,8582203503703,1
1775782023902,37968,8582307426515,1
1775782023997,42528,8582402529015,1
1775782024102,47568,8582507716203,1
1775782024203,52416,8582609079120,1
1775782024305,57264,8582710337192,1
1775782024405,62112,8582810718390,1
1775782024456,64512,8582861315786,1
1775782024556,69360,8582961996880,1
1775782024658,74208,8583063346151,1
1775782024758,79056,8583164082244,1
1775782024859,83904,8583265038598,1
1775782024960,88752,8583365815005,1
1775782025062,93648,8583467662400,1
1775782025163,98496,8583568877505,1
1775782025265,103392,8583670522713,1
1775782025366,108240,8583772064484,1
1775782025466,113040,8583872201254,1
1775782025568,117936,8583973431254,1
1775782025668,122736,8584073954223,1
1775782025770,127632,8584175510421,1
1775782025871,132432,8584276275056,1
1775782025971,137280,8584377090786,1
1775782026073,142128,8584478293025,1
1775782026173,146976,8584578992296,1
1775782026274,151824,8584679822660,1
1775782026376,156720,8584781561879,1
1775782026477,161520,8584882370317,1
1775782026578,166368,8584983363806,1
1775782026679,171216,8585084308337,1
1775782026780,176064,8585185368910,1
1775782026880,180912,8585286184431,1
1775782026982,185808,8585387680368,1
1775782027083,190656,8585488822452,1
1775782027184,195504,8585589990473,1
1775782027286,200352,8585691279170,1
1775782027387,205248,8585792381931,1
1775782027488,210048,8585893371722,1
1775782027588,214896,8585994019639,1
1775782027690,219792,8586095687035,1
1775782027791,224640,8586196900577,1
1775782027893,229488,8586298284274,1
1775782027994,234384,8586399416358,1
1775782028094,239184,8586500094899,1
1775782028195,244032,8586600727503,1
1775782028295,248832,8586701027347,1
1775782028397,253680,8586802285837,1
1775782028498,258576,8586903829274,1
1775782028599,263424,8587004791722,1
1775782028700,268272,8587105949430,1
1775782028801,273072,8587206305889,1
1775782028902,277968,8587307545524,1
1775782029003,282816,8587408975889,1
1775782029104,287616,8587509247816,1
1775782029205,292464,8587610379743,1
1775782029305,297312,8587710963493,1
1775782029356,299760,8587761818545,1
1775782029508,307008,8587913340784,1
1775782029558,309456,8587963763128,1
1775782029659,314304,8588064930263,1
1775782029760,319152,8588165544117,1
1775782029861,324000,8588266874638,1
1775782029963,328896,8588368743961,1
1775782030063,333696,8588468763857,1
1775782030164,338496,8588569286617,1
1775782030264,343344,8588669972503,1
1775782030416,350640,8588821802138,1
1775782030467,353088,8588872823700,1
1775782030569,357936,8588974290628,1
1775782030669,362784,8589074998388,1
1775782030770,367632,8589176023909,1
1775782030871,372480,8589276946200,1
1775782030972,377328,8589378074482,1
1775782031072,382128,8589478110732,1
1775782031174,387024,8589580047763,1
1775782031275,391872,8589680900888,1
1775782031376,396720,8589782003596,1
1775782031477,401568,8589882722867,1
1775782031578,406416,8589983501721,1
1775782031678,411216,8590084133700,1
1775782031780,416112,8590185713700,1
1775782031882,420960,8590287377815,1
1775782031982,425808,8590387872502,1
1775782032083,430656,8590489034117,1
1775782032184,435504,8590589995419,1
1775782032286,440352,8590691352085,1
1775782032386,445200,8590791577502,1
1775782032487,450000,8590892357710,1
1775782032588,454896,8590993875939,1
1775782032689,459744,8591094938439,1
1775782032790,464592,8591195973387,1
1775782032891,469440,8591296651981,1
1775782032991,474240,8591397169897,1
1775782033092,479088,8591497869949,1
1775782033193,483936,8591598770627,1
1775782033296,488880,8591701479012,1
1775782033395,493632,8591801178491,1
1775782033497,498528,8591902458335,1
1775782033598,503376,8592003666512,1
1775782033698,508176,8592103969585,1
1775782033799,513024,8592204696303,1
1775782033900,517872,8592306105366,1
1775782034002,522768,8592407503439,1
1775782034102,527568,8592508071199,1
1775782034204,532416,8592609227918,1
1775782034305,537264,8592710342293,1
1775782034406,542160,8592811479428,1
1775782034507,547008,8592913176199,1
1775782034558,549456,8592964004741,1
1775782039882,4080,8598287725676,1
1775782039989,9216,8598394353280,1
1775782040083,13728,8598488552968,1
1775782040188,18768,8598593520676,1
1775782040283,23328,8598688545155,1
1775782040388,28368,8598793787343,1
1775782040483,32928,8598888412759,1
1775782040589,38016,8598994883436,1
1775782040682,42480,8599087609165,1
1775782040786,47472,8599191893697,1
1775782040887,52320,8599292366613,1
1775782040987,57120,8599392936874,1
1775782041087,61968,8599493199113,1
1775782041188,66768,8599593696561,1
1775782041238,69216,8599644184113,1
1775782041340,74064,8599745712707,1
1775782041442,78960,8599847258592,1
1775782041542,83808,8599948153123,1
1775782041644,88656,8600049342759,1
1775782041744,93456,8600149968332,1
1775782041845,98304,8600250639477,1
1775782041946,103152,8600351425102,1
1775782042047,108000,8600452366613,1
1775782042148,112848,8600553582759,1
1775782042249,117696,8600654434894,1
1775782042350,122544,8600755546196,1
1775782042451,127392,8600856841821,1
1775782042553,132288,8600958301613,1
1775782042654,137136,8601059821977,1
1775782042754,141984,8601160116925,1
1775782042855,146832,8601261166873,1
1775782042956,151632,8601361466092,1
1775782043057,156480,8601462890102,1
1775782043159,161376,8601564262029,1
1775782043259,166176,8601664715519,1
1775782043360,171072,8601766083956,1
1775782043461,175872,8601866560102,1
1775782043562,180720,8601967487862,1
1775782043663,185568,8602068605102,1
1775782043764,190416,8602169438695,1
1775782043865,195264,8602270254633,1
1775782043966,200112,8602371599841,1
1775782044066,204912,8602471592654,1
1775782044167,209760,8602572684268,1
1775782044268,214608,8602673870049,1
1775782044369,219456,8602774290049,1
1775782044468,224256,8602874124789,1
1775782044570,229104,8602975544268,1
1775782044671,233952,8603076351924,1
1775782044772,238800,8603177463435,1
1775782044873,243648,8603278434268,1
1775782044973,248448,8603378856612,1
1775782045074,253296,8603479542914,1
1775782046050,4128,8604455648122,1
1775782046155,9120,8604560330726,1
1775782046249,13680,8604654994528,1
1775782046355,18768,8604760933799,1
1775782046449,23280,8604855097184,1
1775782046554,28320,8604960012080,1
1775782046648,32832,8605054160205,1
1775782046755,37968,8605160689111,1
1775782046850,42480,8605255246455,1
1775782046954,47520,8605359684475,1
1775782047056,52368,8605461352600,1
1775782047106,54816,8605511684788,1
1775782047207,59664,8605612786246,1
1775782047308,64512,8605714033121,1
1775782047409,69360,8605815188069,1
1775782047510,74208,8605915854840,1
1775782049156,4560,8607561370881,1
1775782049252,9168,8607657478902,1
1775782049357,14208,8607762965672,1
1775782049452,18768,8607857935047,1
1775782049558,23856,8607963992912,1
1775782049652,28416,8608058186193,1
1775782049755,33312,8608160900829,1
1775782049849,37872,8608255206037,1
1775782049954,42912,8608360182443,1
1775782050050,47472,8608455631974,1
1775782050111,50400,8608516333589,1
1775782050212,55248,8608617745360,1
1775782050313,60144,8608719062183,1
