seq,t1,t2,t3,rttMs,rawOffsetMs,filteredOffsetMs,phase
0,1775744108968,1775744108191,1775744109036,68,-811,,init
1,1775744109086,1775744108286,1775744109099,13,-806,,init
2,1775744109187,1775744108456,1775744109267,80,-771,,init
3,1775744109299,1775744108556,1775744109368,69,-777,,init
4,1775744109400,1775744108650,1775744109459,59,-779,,init
5,1775744109502,1775744108737,1775744109558,56,-793,,init
6,1775744109636,1775744108850,1775744109663,27,-799,,init
7,1775744109739,1775744108941,1775744109754,15,-805,,init
8,1775744109841,1775744109040,1775744109854,13,-807,,init
9,1775744109943,1775744109145,1775744109955,12,-804,,init
10,1775744111552,1775744110755,1775744111567,15,-804,-804.000,steady
11,1775744112554,1775744111833,1775744112706,152,-797,-804.000,steady
12,1775744113552,1775744112758,1775744113575,23,-805,-804.000,steady
13,1775744114551,1775744113755,1775744114565,14,-803,-803.900,steady
14,1775744115552,1775744114806,1775744115622,70,-781,-803.810,steady
15,1775744116551,1775744115830,1775744116656,105,-773,-803.729,steady
16,1775744117551,1775744116759,1775744117570,19,-801,-803.656,steady
17,1775744118551,1775744117763,1775744118573,22,-799,-803.590,steady
18,1775744119553,1775744118760,1775744119574,21,-803,-803.331,steady
19,1775744120552,1775744119755,1775744120574,22,-808,-803.098,steady
20,1775744121553,1775744120854,1775744121671,118,-758,-802.888,steady
21,1775744122552,1775744121755,1775744122568,16,-805,-803.100,steady
22,1775744123552,1775744122796,1775744123608,56,-784,-803.290,steady
23,1775744124552,1775744123759,1775744124574,22,-804,-803.461,steady
24,1775744125552,1775744124840,1775744125653,101,-762,-803.615,steady
25,1775744126552,1775744125758,1775744126573,21,-804,-803.753,steady
26,1775744127552,1775744126756,1775744127570,18,-805,-803.878,steady
27,1775744128552,1775744127812,1775744128625,73,-776,-803.990,steady
28,1775744129552,1775744128762,1775744129575,23,-801,-804.091,steady
29,1775744130553,1775744129860,1775744130676,123,-754,-804.182,steady
30,1775744131552,1775744130766,1775744131580,28,-800,-804.264,steady
31,1775744132552,1775744131760,1775744132572,20,-802,-804.037,steady
32,1775744133553,1775744132828,1775744133645,92,-771,-803.834,steady
33,1775744134553,1775744133755,1775744134572,19,-807,-804.150,steady
34,1775744135552,1775744134756,1775744135570,18,-805,-804.235,steady
35,1775744136552,1775744135800,1775744136614,62,-783,-804.312,steady
36,1775744137551,1775744136754,1775744137566,15,-804,-804.281,steady
37,1775744138552,1775744137842,1775744138661,109,-764,-804.252,steady
38,1775744139562,1775744138763,1775744139575,13,-805,-804.327,steady
39,1775744140551,1775744139787,1775744140599,48,-788,-804.395,steady
40,1775744141552,1775744140759,1775744141570,18,-802,-804.455,steady
41,1775744142555,1775744141755,1775744142566,11,-805,-804.510,steady
42,1775744143556,1775744142760,1775744143579,23,-807,-804.559,steady
43,1775744144552,1775744143782,1775744144598,46,-793,-804.603,steady
44,1775744145561,1775744144816,1775744145665,104,-797,-804.642,steady
45,1775744146563,1775744145767,1775744146581,18,-805,-804.678,steady
46,1775744147552,1775744146757,1775744147570,18,-804,-804.610,steady
47,1775744148552,1775744147756,1775744148568,16,-804,-804.549,steady
48,1775744149552,1775744148810,1775744149653,101,-792,-804.494,steady
49,1775744150551,1775744149752,1775744150565,14,-806,-804.645,steady
50,1775744151551,1775744150751,1775744151563,12,-806,-804.780,steady
51,1775744152551,1775744151767,1775744152580,29,-798,-804.902,steady
52,1775744153557,1775744152769,1775744153581,24,-800,-805.012,steady
53,1775744154568,1775744153775,1775744154589,21,-803,-805.111,steady
54,1775744155560,1775744154764,1775744155577,17,-804,-805.200,steady
55,1775744156551,1775744155764,1775744156576,25,-799,-805.080,steady
56,1775744157551,1775744156761,1775744157577,26,-803,-804.972,steady
57,1775744158553,1775744157816,1775744158659,106,-790,-804.875,steady
58,1775744159564,1775744158767,1775744159579,15,-804,-804.787,steady
59,1775744160551,1775744159758,1775744160572,21,-803,-804.709,steady
60,1775744161552,1775744160762,1775744161576,24,-802,-804.638,steady
61,1775744162561,1775744161764,1775744162579,18,-806,-804.574,steady
62,1775744163565,1775744162767,1775744163580,15,-805,-804.617,steady
63,1775744164559,1775744163763,1775744164576,17,-804,-804.655,steady
64,1775744165551,1775744164777,1775744165589,38,-793,-804.689,steady
65,1775744166551,1775744165762,1775744166573,22,-800,-804.720,steady
66,1775744167558,1775744166762,1775744167575,17,-804,-804.748,steady
67,1775744168566,1775744167770,1775744168582,16,-804,-804.674,steady
68,1775744169567,1775744168771,1775744169584,17,-804,-804.606,steady
69,1775744170573,1775744169792,1775744170607,34,-798,-804.546,steady
70,1775744171553,1775744170763,1775744171577,24,-802,-804.491,steady
71,1775744172552,1775744171840,1775744172662,110,-767,-804.442,steady
72,1775744173558,1775744172764,1775744173579,21,-804,-804.398,steady
73,1775744174567,1775744173770,1775744174584,17,-805,-804.458,steady
74,1775744175551,1775744174756,1775744175566,15,-802,-804.212,steady
75,1775744176553,1775744175756,1775744176569,16,-805,-803.991,steady
76,1775744177553,1775744176759,1775744177574,21,-804,-803.792,steady
77,1775744178563,1775744177768,1775744178582,19,-804,-803.613,steady
78,1775744179560,1775744178816,1775744179641,81,-784,-803.451,steady
79,1775744180553,1775744179763,1775744180578,25,-802,-803.606,steady
80,1775744181551,1775744180759,1775744181576,25,-804,-803.646,steady
81,1775744182554,1775744181763,1775744182576,22,-802,-803.681,steady
82,1775744183558,1775744182818,1775744183657,99,-789,-803.513,steady
83,1775744184574,1775744183820,1775744184641,67,-787,-803.362,steady
84,1775744185552,1775744184844,1775744185664,112,-764,-803.225,steady
85,1775744186555,1775744185767,1775744186580,25,-800,-803.103,steady
86,1775744187565,1775744186807,1775744187618,53,-784,-802.793,steady
87,1775744188562,1775744187815,1775744188664,102,-798,-802.513,steady
88,1775744189552,1775744188755,1775744189567,15,-804,-802.662,steady
89,1775744190552,1775744189758,1775744190573,21,-804,-802.796,steady
90,1775744191553,1775744190782,1775744191593,40,-791,-802.916,steady
91,1775744192558,1775744191816,1775744192662,104,-794,-803.025,steady
92,1775744193565,1775744192766,1775744193578,13,-805,-803.222,steady
93,1775744194552,1775744193755,1775744194569,17,-805,-803.400,steady
94,1775744195552,1775744194762,1775744195576,24,-802,-803.560,steady
95,1775744196562,1775744195807,1775744196619,57,-783,-803.704,steady
96,1775744197558,1775744196765,1775744197579,21,-803,-803.834,steady
97,1775744198552,1775744197755,1775744198565,13,-803,-803.750,steady
98,1775744199551,1775744198760,1775744199572,21,-801,-803.675,steady
99,1775744200551,1775744199808,1775744200644,93,-789,-803.608,steady
100,1775744201551,1775744200818,1775744201646,95,-780,-803.547,steady
101,1775744202561,1775744201759,1775744202573,12,-808,-803.992,steady
102,1775744203552,1775744202756,1775744203569,17,-804,-804.393,steady
103,1775744204552,1775744203892,1775744204705,153,-736,-804.754,steady
104,1775744205552,1775744204760,1775744205573,21,-802,-805.078,steady
105,1775744206554,1775744205760,1775744206573,19,-803,-805.370,steady
106,1775744207566,1775744206766,1775744207578,12,-806,-805.433,steady
107,1775744208552,1775744207785,1775744208596,44,-789,-805.490,steady
108,1775744209563,1775744208768,1775744209581,18,-804,-805.541,steady
109,1775744210557,1775744209767,1775744210582,25,-802,-805.587,steady
110,1775744211551,1775744210756,1775744211567,16,-803,-805.628,steady
111,1775744212551,1775744211760,1775744212571,20,-801,-805.365,steady
112,1775744213563,1775744212809,1775744213642,79,-793,-805.129,steady
113,1775744214557,1775744213767,1775744214579,22,-801,-804.916,steady
114,1775744215552,1775744214755,1775744215567,15,-804,-804.824,steady
115,1775744216552,1775744215760,1775744216576,24,-804,-804.742,steady
116,1775744217552,1775744216811,1775744217644,92,-787,-804.668,steady
117,1775744218557,1775744217767,1775744218578,21,-800,-804.601,steady
118,1775744219551,1775744218759,1775744219571,20,-802,-804.541,steady
119,1775744220555,1775744219764,1775744220578,23,-802,-804.287,steady
120,1775744221552,1775744220762,1775744221576,24,-802,-804.058,steady
121,1775744222552,1775744221760,1775744222583,31,-807,-803.852,steady
122,1775744223553,1775744222763,1775744223578,25,-802,-803.667,steady
123,1775744224553,1775744223759,1775744224570,17,-802,-803.500,steady
