eventId,wallMs,msSinceSeek,driftMs,correctionFrames,oldVf,newVf,kind
0,1775787499873,0,-48.700,1870,101424,103294,pre
0,1775787499974,101,-9.742,,,,probe
0,1775787500176,303,-9.742,,,,probe
0,1775787500378,505,-3.742,,,,probe
0,1775787500933,1060,4.128,,,,probe
0,1775787501944,2071,12.711,,,,probe
1,1775787502649,0,22.036,-846,237502,236656,pre
1,1775787502750,101,4.411,,,,probe
1,1775787502952,303,7.411,,,,probe
1,1775787503153,504,7.411,,,,probe
1,1775787503659,1010,8.003,,,,probe
1,1775787504670,2021,16.636,,,,probe
2,1775787504871,0,24.636,-946,342256,341310,pre
2,1775787504972,101,4.928,,,,probe
2,1775787505174,303,4.928,,,,probe
2,1775787505376,505,6.928,,,,probe
2,1775787505933,1062,-39.402,,,,probe
3,1775787505933,0,-39.402,1513,392958,394471,pre
3,1775787506033,100,-6.882,,,,probe
3,1775787506235,302,-6.882,,,,probe
3,1775787506487,554,-4.179,,,,probe
3,1775787506943,1010,0.821,,,,probe
3,1775787507956,2023,11.854,,,,probe
4,1775787509368,0,23.083,-886,557383,556497,pre
4,1775787509469,101,4.831,,,,probe
4,1775787509671,303,3.831,,,,probe
4,1775787509873,505,3.831,,,,probe
4,1775787510378,1010,17.831,,,,probe
5,1775787511336,0,-24.983,959,652593,653552,pre
5,1775787511437,101,-4.837,,,,probe
5,1775787511640,304,-5.837,,,,probe
5,1775787511842,506,2.163,,,,probe
5,1775787512347,1011,5.163,,,,probe
5,1775787513357,2021,13.313,,,,probe
6,1775787514364,0,25.349,-973,797552,796579,pre
6,1775787514465,101,5.078,,,,probe
6,1775787514667,303,1.210,,,,probe
6,1775787514869,505,1.210,,,,probe
6,1775787515374,1010,11.210,,,,probe
7,1775787516334,0,-33.272,1278,892387,893665,pre
7,1775787516435,101,-6.480,,,,probe
7,1775787516637,303,-6.480,,,,probe
7,1775787516840,506,-0.480,,,,probe
7,1775787517395,1061,4.670,,,,probe
7,1775787518353,2019,14.670,,,,probe
8,1775787519163,0,20.805,-799,1028161,1027362,pre
8,1775787519263,100,4.159,,,,probe
8,1775787519465,302,8.281,,,,probe
8,1775787519668,505,8.281,,,,probe
8,1775787520172,1009,12.281,,,,probe
9,1775787520828,0,21.390,-821,1108674,1107853,pre
9,1775787520929,101,4.286,,,,probe
9,1775787521131,303,4.286,,,,probe
9,1775787521383,555,-41.714,,,,probe
9,1775787521888,1060,-37.215,,,,probe
10,1775787521888,0,-37.215,1429,1156813,1158242,pre
10,1775787522039,151,-7.445,,,,probe
10,1775787522242,354,-7.445,,,,probe
10,1775787522443,555,-0.445,,,,probe
10,1775787522947,1059,3.204,,,,probe
10,1775787523958,2070,11.888,,,,probe
11,1775787525373,0,23.703,-910,1325474,1324564,pre
11,1775787525475,102,4.579,,,,probe
11,1775787525678,305,4.579,,,,probe
11,1775787525880,507,10.579,,,,probe
11,1775787526386,1013,11.579,,,,probe
12,1775787526941,0,-32.571,1251,1401268,1402519,pre
12,1775787527042,101,-6.508,,,,probe
12,1775787527244,303,-6.508,,,,probe
12,1775787527445,504,-3.643,,,,probe
12,1775787527949,1008,0.357,,,,probe
13,1775787528353,0,30.357,-1166,1469623,1468457,pre
13,1775787528453,100,6.944,,,,probe
13,1775787528655,302,6.944,,,,probe
13,1775787528857,504,-11.056,,,,probe
13,1775787529363,1010,-8.056,,,,probe
13,1775787530373,2020,3.035,,,,probe
14,1775787532343,0,-27.529,1057,1660553,1661610,pre
14,1775787532444,101,-4.470,,,,probe
14,1775787532646,303,-5.470,,,,probe
14,1775787532848,505,-0.470,,,,probe
14,1775787533353,1010,4.530,,,,probe
14,1775787534362,2019,15.206,,,,probe
15,1775787534867,0,22.206,-853,1781322,1780469,pre
15,1775787534969,102,4.435,,,,probe
15,1775787535171,304,4.435,,,,probe
15,1775787535373,506,4.435,,,,probe
15,1775787535877,1010,14.202,,,,probe
15,1775787536936,2069,22.992,,,,probe
16,1775787536936,0,22.992,-883,1880117,1879234,pre
16,1775787537037,101,4.596,,,,probe
16,1775787537239,303,3.596,,,,probe
16,1775787537440,504,8.407,,,,probe
16,1775787537945,1009,-36.593,,,,probe
17,1775787537945,0,-36.593,1405,1927138,1928543,pre
17,1775787538046,101,-7.322,,,,probe
17,1775787538248,303,-7.322,,,,probe
17,1775787538449,504,-3.492,,,,probe
17,1775787538956,1011,3.508,,,,probe
17,1775787539966,2021,14.755,,,,probe
18,1775787540371,0,20.755,-797,2043551,2042754,pre
18,1775787540472,101,4.151,,,,probe
18,1775787540675,304,6.174,,,,probe
18,1775787540876,505,8.174,,,,probe
18,1775787541432,1061,10.794,,,,probe
19,1775787542339,0,20.794,-798,2138850,2138052,pre
19,1775787542440,101,4.169,,,,probe
19,1775787542642,303,2.927,,,,probe
19,1775787542845,506,-44.073,,,,probe
19,1775787543350,1011,-37.073,,,,probe
20,1775787543350,0,-37.073,1424,2185956,2187380,pre
20,1775787543451,101,-8.524,,,,probe
20,1775787543654,304,-8.524,,,,probe
20,1775787543856,506,-8.524,,,,probe
20,1775787544360,1010,1.476,,,,probe
20,1775787545371,2021,11.470,,,,probe
21,1775787546333,0,21.565,-828,2331284,2330456,pre
21,1775787546434,101,4.500,,,,probe
21,1775787546636,303,4.500,,,,probe
21,1775787546838,505,9.500,,,,probe
21,1775787547393,1060,13.500,,,,probe
22,1775787547848,0,-31.334,1203,2402648,2403851,pre
22,1775787547949,101,-6.271,,,,probe
22,1775787548152,304,-6.271,,,,probe
22,1775787548353,505,-3.271,,,,probe
22,1775787548858,1010,-2.121,,,,probe
22,1775787549867,2019,14.014,,,,probe
23,1775787550827,0,25.135,-965,2547659,2546694,pre
23,1775787550978,151,5.031,,,,probe
23,1775787551129,302,5.031,,,,probe
23,1775787551382,555,11.031,,,,probe
23,1775787551885,1058,19.041,,,,probe
24,1775787552338,0,22.041,-846,2618790,2617944,pre
24,1775787552439,101,3.424,,,,probe
24,1775787552640,302,3.424,,,,probe
24,1775787552842,504,3.424,,,,probe
24,1775787553346,1008,-38.576,,,,probe
25,1775787553346,0,-38.576,1481,2665848,2667329,pre
25,1775787553448,102,-8.614,,,,probe
25,1775787553699,353,-8.614,,,,probe
25,1775787553851,505,-2.614,,,,probe
25,1775787554356,1010,1.386,,,,probe
25,1775787555365,2019,10.583,,,,probe
26,1775787556374,0,21.860,-839,2811137,2810298,pre
26,1775787556475,101,3.730,,,,probe
26,1775787556677,303,3.730,,,,probe
26,1775787556930,556,7.730,,,,probe
26,1775787557434,1060,11.845,,,,probe
27,1775787557836,0,-32.155,1235,2882298,2883533,pre
27,1775787557936,100,-6.426,,,,probe
27,1775787558139,303,-6.426,,,,probe
27,1775787558341,505,-1.426,,,,probe
27,1775787558845,1009,1.677,,,,probe
27,1775787559857,2021,11.769,,,,probe
28,1775787560865,0,21.853,-839,3027437,3026598,pre
28,1775787560966,101,4.374,,,,probe
28,1775787561169,304,3.374,,,,probe
28,1775787561370,505,8.374,,,,probe
28,1775787561874,1009,6.949,,,,probe
29,1775787562481,0,21.667,-832,3103974,3103142,pre
29,1775787562632,151,4.333,,,,probe
29,1775787562833,352,-40.667,,,,probe
29,1775787563035,554,-40.667,,,,probe
29,1775787563539,1058,-36.621,,,,probe
30,1775787563539,0,-36.621,1406,3155174,3156580,pre
30,1775787563641,102,-8.329,,,,probe
30,1775787563842,303,-1.329,,,,probe
30,1775787564045,506,-1.329,,,,probe
30,1775787564548,1009,3.712,,,,probe
30,1775787565559,2020,14.712,,,,probe
31,1775787565964,0,20.749,-797,3271780,3270983,pre
31,1775787566065,101,4.145,,,,probe
31,1775787566267,303,4.145,,,,probe
31,1775787566470,506,11.178,,,,probe
31,1775787566976,1012,14.178,,,,probe
32,1775787567832,0,-26.792,1029,3361895,3362924,pre
32,1775787567934,102,-5.354,,,,probe
32,1775787568136,304,-5.354,,,,probe
32,1775787568388,556,0.646,,,,probe
32,1775787568845,1013,7.673,,,,probe
32,1775787569855,2023,12.597,,,,probe
33,1775787570359,0,23.597,-906,3483020,3482114,pre
33,1775787570460,101,5.554,,,,probe
33,1775787570661,302,5.554,,,,probe
33,1775787570863,504,9.554,,,,probe
33,1775787571370,1011,14.554,,,,probe
34,1775787571873,0,22.103,-849,3553826,3552977,pre
34,1775787571974,101,4.415,,,,probe
34,1775787572176,303,4.415,,,,probe
34,1775787572429,556,-40.390,,,,probe
34,1775787572883,1010,-34.390,,,,probe
35,1775787572883,0,-34.390,1321,3601457,3602778,pre
35,1775787573036,153,-7.870,,,,probe
35,1775787573237,354,-6.870,,,,probe
35,1775787573439,556,-2.695,,,,probe
35,1775787573944,1061,2.305,,,,probe
35,1775787574954,2071,11.462,,,,probe
36,1775787575865,0,22.603,-868,3746298,3745430,pre
36,1775787575966,101,4.520,,,,probe
36,1775787576169,304,4.520,,,,probe
36,1775787576369,504,9.520,,,,probe
36,1775787576874,1009,11.647,,,,probe
37,1775787577834,0,-20.539,789,3841526,3842315,pre
37,1775787577935,101,-4.101,,,,probe
37,1775787578137,303,-4.101,,,,probe
37,1775787578339,505,-5.101,,,,probe
37,1775787578845,1011,5.432,,,,probe
37,1775787579857,2023,9.412,,,,probe
38,1775787580866,0,23.493,-902,3986027,3985125,pre
38,1775787580967,101,4.702,,,,probe
38,1775787581170,304,4.702,,,,probe
