seq,hostTimeMs,rxWallMs,anchorFramePos,anchorTimeNs,framePos,timeNs,playing
0,1775785202672,1775785203110,4320,1011633455268201,18816,1011633757511431,1
1,1775785203168,1775785203552,4320,1011633455268201,42624,1011634253247316,1
2,1775785203627,1775785204117,4320,1011633455268201,64656,1011634712178618,1
3,1775785204132,1775785204626,4320,1011633455268201,88944,1011635217824399,1
4,1775785204638,1775785205139,4320,1011633455268201,113232,1011635723702576,1
5,1775785205144,1775785205588,4320,1011633455268201,137472,1011636229359503,1
6,1775785205649,1775785206061,4320,1011633455268201,161760,1011636734796794,1
7,1775785206154,1775785206517,4320,1011633455268201,186000,1011637239757731,1
8,1775785206658,1775785207050,4320,1011633455268201,210192,1011637743856429,1
9,1775785207163,1775785207641,4320,1011633455268201,234432,1011638248557991,1
10,1775785207669,1775785208108,4320,1011633455268201,258720,1011638754700491,1
11,1775785208174,1775785208621,4320,1011633455268201,282912,1011639259531741,1
12,1775785208628,1775785209134,4320,1011633455268201,304752,1011639713702678,1
13,1775785209133,1775785209591,4320,1011633455268201,328944,1011640218170334,1
14,1775785209639,1775785210153,4320,1011633455268201,353232,1011640724117001,1
15,1775785210144,1775785210517,4320,1011633455268201,377472,1011641229334917,1
16,1775785210648,1775785211096,4320,1011633455268201,401664,1011641733107261,1
17,1775785211152,1775785211625,4320,1011633455268201,425856,1011642236946375,1
18,1775785211656,1775785212101,4320,1011633455268201,450096,1011642741781167,1
19,1775785212162,1775785212615,4320,1011633455268201,474336,1011643247469396,1
20,1775785212667,1775785213130,4320,1011633455268201,498576,1011643752102468,1
21,1775785213170,1775785213591,4320,1011633455268201,522768,1011644255640593,1
22,1775785213625,1775785214152,4320,1011633455268201,544608,1011644710719760,1
23,1775785214131,1775785214561,4320,1011633455268201,568848,1011645216174760,1
24,1775785214636,1775785215185,4320,1011633455268201,593088,1011645721093457,1
25,1775785215142,1775785215794,4320,1011633455268201,617376,1011646227285697,1
26,1775785215646,1775785216096,4320,1011633455268201,641616,1011646731739394,1
27,1775785216152,1775785216698,4320,1011633455268201,665856,1011647236926061,1
28,1775785216656,1775785217120,4320,1011633455268201,690048,1011647741239498,1
29,1775785217160,1775785217592,4320,1011633455268201,714240,1011648245363508,1
30,1775785217665,1775785218144,4320,1011633455268201,738480,1011648750260227,1
31,1775785218170,1775785218591,4320,1011633455268201,762720,1011649255521633,1
32,1775785218675,1775785219167,4320,1011633455268201,786960,1011649760183872,1
33,1775785219129,1775785219662,4320,1011633455268201,808752,1011650214280643,1
