wallMs,obsHostFrame,obsHostTimeMs,guestFrame,seekAccum,filteredOffsetMs,expectedHostFrame,driftMs
1775746313669,19296,1775746312357,6339,0,-812.000,43296.0,0.979
1775746313771,19296,1775746312357,11525,0,-812.000,48192.0,7.021
1775746313874,42864,1775746312855,16325,0,-812.000,52800.0,11.021
1775746314002,42864,1775746312855,22369,0,-812.000,58944.0,8.938
1775746314068,42864,1775746312855,25348,0,-812.000,62112.0,5.000
1775746314202,42864,1775746312855,31397,0,-812.000,68544.0,-2.979
1775746314269,42864,1775746312855,35332,0,-812.000,71760.0,12.000
1775746314369,66912,1775746313363,39364,0,-812.000,76224.0,3.000
1775746314469,66912,1775746313363,44357,0,-812.000,81024.0,7.021
1775746314569,66912,1775746313363,49347,0,-812.000,85824.0,10.979
1775746314669,66912,1775746313363,54341,0,-812.000,90624.0,15.021
1775746314769,66912,1775746313363,59428,0,-812.000,95424.0,21.000
1775746314869,91200,1775746313855,63459,-806,-812.000,100896.0,-25.813
1775746314970,91200,1775746313855,68545,-806,-811.800,105753.6,-21.054
1775746315084,91200,1775746313855,73635,-806,-811.800,111225.6,-29.012
1775746315168,91200,1775746313855,78629,-806,-811.800,115257.6,-8.971
1775746315269,91200,1775746313855,82660,-806,-811.800,120105.6,-25.992
1775746315369,113040,1775746314355,87746,-806,-811.800,122745.6,24.967
1775746315469,113040,1775746314355,92835,-806,-811.800,127545.6,30.988
1775746315568,113040,1775746314355,97728,-806,-811.800,132297.6,33.925
1775746315670,113040,1775746314355,102533,-806,-811.800,137193.6,32.029
1775746315768,113040,1775746314355,107424,-806,-811.800,141897.6,35.925
1775746315869,113040,1775746314355,107424,-806,-811.800,146745.6,-65.075
1775746315968,137232,1775746314855,112228,1693,-811.800,151689.6,-15.929
1775746316068,137232,1775746314855,117121,1693,-811.620,156498.2,-14.172
1775746316169,137232,1775746314855,121922,1693,-811.620,161346.2,-15.151
1775746316269,137232,1775746314855,126722,1693,-811.620,166146.2,-15.151
1775746316368,161472,1775746315355,131618,1693,-811.620,171138.2,-17.151
1775746316468,161472,1775746315355,136512,1693,-811.620,175938.2,-15.192
1775746316569,161472,1775746315355,141408,1693,-811.620,180786.2,-14.192
1775746316669,161472,1775746315355,146212,1693,-811.620,185586.2,-14.109
1775746316769,161472,1775746315355,151105,1693,-811.620,190386.2,-12.172
1775746316869,185760,1775746315855,155908,1693,-811.620,195474.2,-18.109
1775746316980,185760,1775746315855,160804,1693,-811.558,200805.2,-27.171
1775746317071,185760,1775746315855,165697,2736,-811.558,205173.2,5.496
1775746317169,185760,1775746315855,170498,2736,-811.558,209877.2,7.516
1775746317269,185760,1775746315855,175393,2736,-811.558,214677.2,9.496
1775746317368,210048,1775746316355,180196,2736,-811.558,219717.2,4.558
1775746317468,210048,1775746316355,185088,2736,-811.558,224517.2,6.475
1775746317569,210048,1775746316355,189892,2736,-811.558,229365.2,5.558
1775746317668,210048,1775746316355,194693,2736,-811.558,234117.2,6.579
1775746317768,210048,1775746316355,199585,2736,-811.558,238917.2,8.496
1775746317874,234192,1775746316856,204385,2736,-811.558,244101.2,0.496
1775746317968,234192,1775746316856,209281,2736,-811.702,248606.3,8.640
1775746318068,234192,1775746316856,214176,2736,-811.702,253406.3,10.619
1775746318168,234192,1775746316856,219073,2736,-811.702,258206.3,12.640
1775746318268,234192,1775746316856,223968,2736,-811.702,263006.3,14.619
1775746318368,258432,1775746317355,228769,2736,-811.702,268094.3,8.640
1775746318468,258432,1775746317355,233665,2736,-811.702,272894.3,10.640
1775746318568,258432,1775746317355,238466,2736,-811.702,277694.3,10.660
1775746318668,258432,1775746317355,243265,2736,-811.702,282494.3,10.640
1775746318768,258432,1775746317355,248069,2736,-811.702,287294.3,10.723
1775746318899,282672,1775746317857,252962,2736,-811.702,293726.3,-21.340
1775746318969,282672,1775746317857,257764,3555,-811.702,297086.3,25.765
1775746319068,282672,1775746317857,262656,3555,-811.832,301832.1,28.811
1775746319169,282672,1775746317857,267457,3555,-811.832,306680.1,27.832
