seq,t1,t2,t3,rttMs,rawOffsetMs,filteredOffsetMs,phase
0,1775785200852,1775785200768,1775785201047,195,-181,,init
1,1775785200961,1775785200831,1775785201091,130,-195,,init
2,1775785201063,1775785200832,1775785201169,106,-284,,init
3,1775785201164,1775785200944,1775785201193,29,-234,,init
4,1775785201265,1775785201043,1775785201295,30,-237,,init
5,1775785201366,1775785201148,1775785201398,32,-234,,init
6,1775785201469,1775785201251,1775785201501,32,-234,,init
7,1775785201571,1775785201358,1775785201604,33,-229,,init
8,1775785201673,1775785201455,1775785201701,28,-232,,init
9,1775785201775,1775785201558,1775785201809,34,-234,,init
10,1775785203390,1775785203266,1775785203520,130,-189,-227.700,steady
11,1775785204394,1775785204311,1775785204712,318,-242,-223.830,steady
12,1775785205391,1775785205212,1775785205492,101,-229,-224.347,steady
13,1775785206394,1775785206234,1775785206493,99,-209,-222.812,steady
14,1775785207387,1775785207262,1775785207504,117,-183,-221.431,steady
15,1775785208393,1775785208281,1775785208705,312,-268,-220.188,steady
16,1775785209388,1775785209209,1775785209489,101,-229,-219.069,steady
17,1775785210387,1775785210229,1775785210486,99,-207,-217.862,steady
18,1775785211393,1775785211256,1775785211591,198,-236,-216.776,steady
19,1775785212394,1775785212278,1775785212632,238,-235,-215.798,steady
20,1775785213389,1775785213198,1775785213490,101,-241,-214.919,steady
21,1775785214389,1775785214221,1775785214489,100,-218,-214.127,steady
22,1775785215387,1775785215248,1775785215584,197,-237,-214.514,steady
23,1775785216397,1775785216272,1775785216611,214,-232,-214.863,steady
24,1775785217388,1775785217169,1775785217495,107,-272,-215.176,steady
25,1775785218391,1775785218215,1775785218489,98,-225,-216.159,steady
26,1775785219390,1775785219242,1775785219589,199,-247,-217.043,steady
27,1775785220388,1775785220264,1775785220601,213,-230,-217.839,steady
28,1775785221394,1775785221187,1775785221485,91,-252,-221.255,steady
29,1775785222391,1775785222208,1775785222495,104,-235,-224.329,steady
30,1775785223391,1775785223236,1775785223590,199,-254,-227.096,steady
31,1775785224388,1775785224257,1775785224594,206,-234,-229.587,steady
32,1775785225387,1775785225279,1775785225705,318,-267,-231.828,steady
33,1775785226395,1775785226205,1775785226495,100,-240,-232.645,steady
34,1775785227391,1775785227229,1775785227494,103,-213,-233.381,steady
35,1775785228389,1775785228254,1775785228497,108,-189,-234.043,steady
36,1775785229390,1775785229277,1775785229639,249,-237,-234.638,steady
37,1775785230387,1775785230205,1775785230537,150,-257,-235.175,steady
38,1775785231387,1775785231220,1775785231561,174,-254,-232.957,steady
39,1775785232393,1775785232245,1775785232494,101,-198,-229.461,steady
