eventId,wallMs,msSinceSeek,driftMs,correctionFrames,oldVf,newVf,kind
0,1775744139103,0,-315.643,12121,7584,19705,pre
0,1775744139203,100,-324.727,,,,probe
0,1775744139403,300,-312.664,,,,probe
0,1775744139612,509,-315.569,,,,probe
0,1775744140107,1004,-332.652,,,,probe
1,1775744140107,0,-332.652,12774,67705,80479,pre
1,1775744140225,118,-324.673,,,,probe
1,1775744140503,396,-283.610,,,,probe
1,1775744140644,537,-278.564,,,,probe
1,1775744141204,1097,-373.543,,,,probe
2,1775744141204,0,-373.543,14344,132895,147239,pre
2,1775744141404,200,-372.522,,,,probe
2,1775744141604,400,-370.441,,,,probe
2,1775744141704,500,-372.545,,,,probe
2,1775744142204,1000,-368.524,,,,probe
3,1775744142204,0,-368.524,14151,195239,209390,pre
3,1775744142304,100,-372.441,,,,probe
3,1775744142603,399,-369.449,,,,probe
3,1775744142704,500,-376.386,,,,probe
3,1775744143304,1100,-375.428,,,,probe
4,1775744143304,0,-375.428,14416,262190,276606,pre
4,1775744143504,200,-373.490,,,,probe
4,1775744143623,319,-392.337,,,,probe
4,1775744143804,500,-374.400,,,,probe
4,1775744144320,1016,-389.379,,,,probe
5,1775744144320,0,-389.379,14952,325374,340326,pre
5,1775744144503,183,-370.358,,,,probe
5,1775744144624,304,-389.376,,,,probe
5,1775744144903,583,-369.335,,,,probe
5,1775744145358,1038,-325.314,,,,probe
6,1775744145358,0,-325.314,12492,390246,402738,pre
6,1775744145504,146,-369.356,,,,probe
6,1775744145707,349,-370.295,,,,probe
6,1775744145903,545,-320.274,,,,probe
6,1775744146404,1046,-322.316,,,,probe
7,1775744146404,0,-322.316,12377,452562,464939,pre
7,1775744146504,100,-322.253,,,,probe
7,1775744146804,400,-325.218,,,,probe
7,1775744146904,500,-323.301,,,,probe
7,1775744147404,1000,-324.280,,,,probe
8,1775744147404,0,-324.280,12452,512843,525295,pre
8,1775744147504,100,-324.259,,,,probe
8,1775744147704,300,-329.285,,,,probe
8,1775744147905,501,-328.285,,,,probe
8,1775744148404,1000,-325.327,,,,probe
9,1775744148404,0,-325.327,12493,573199,585692,pre
9,1775744148623,219,-342.388,,,,probe
9,1775744148704,300,-321.451,,,,probe
9,1775744148904,500,-326.409,,,,probe
9,1775744149406,1002,-327.430,,,,probe
10,1775744149406,0,-327.430,12573,633692,646265,pre
10,1775744149603,197,-322.409,,,,probe
10,1775744149804,398,-328.401,,,,probe
10,1775744150003,597,-323.485,,,,probe
10,1775744150504,1098,-324.506,,,,probe
11,1775744150504,0,-324.506,12461,698777,711238,pre
11,1775744150703,199,-278.292,,,,probe
11,1775744150804,300,-277.334,,,,probe
11,1775744151004,500,-273.334,,,,probe
11,1775744151603,1099,-372.178,,,,probe
12,1775744151603,0,-372.178,14292,763846,778138,pre
12,1775744151703,100,-372.178,,,,probe
12,1775744151903,300,-374.219,,,,probe
12,1775744152103,500,-372.199,,,,probe
12,1775744152616,1013,-387.014,,,,probe
13,1775744152616,0,-387.014,14861,826714,841575,pre
13,1775744152804,188,-378.014,,,,probe
13,1775744153004,388,-376.014,,,,probe
13,1775744153203,587,-373.077,,,,probe
13,1775744153629,1013,-296.904,,,,probe
14,1775744153629,0,-296.904,11401,890247,901648,pre
14,1775744153803,174,-375.946,,,,probe
14,1775744154004,375,-376.925,,,,probe
14,1775744154204,575,-374.946,,,,probe
14,1775744154638,1009,-310.806,,,,probe
15,1775744154638,0,-310.806,11935,950128,962063,pre
15,1775744154804,166,-378.889,,,,probe
15,1775744155003,365,-375.785,,,,probe
15,1775744155204,566,-372.889,,,,probe
15,1775744155703,1065,-375.696,,,,probe
16,1775744155703,0,-375.696,14427,1001104,1015531,pre
16,1775744155803,100,-373.758,,,,probe
16,1775744156004,301,-372.779,,,,probe
16,1775744156204,501,-370.696,,,,probe
16,1775744156704,1001,-316.899,,,,probe
17,1775744156704,0,-316.899,12169,1063435,1075604,pre
17,1775744156804,100,-372.878,,,,probe
17,1775744157004,300,-370.920,,,,probe
17,1775744157204,500,-370.816,,,,probe
17,1775744157704,1000,-319.986,,,,probe
18,1775744157704,0,-319.986,12287,1123508,1135795,pre
18,1775744157804,100,-324.924,,,,probe
18,1775744158004,300,-322.924,,,,probe
18,1775744158204,500,-321.007,,,,probe
18,1775744158704,1000,-322.104,,,,probe
19,1775744158704,0,-322.104,12369,1183603,1195972,pre
19,1775744158903,199,-328.084,,,,probe
19,1775744159004,300,-329.084,,,,probe
19,1775744159204,500,-332.063,,,,probe
19,1775744159704,1000,-324.213,,,,probe
20,1775744159704,0,-324.213,12450,1243876,1256326,pre
20,1775744159804,100,-329.129,,,,probe
20,1775744160104,400,-327.108,,,,probe
20,1775744160204,500,-325.171,,,,probe
20,1775744160804,1100,-281.229,,,,probe
21,1775744160804,0,-281.229,10799,1308934,1319733,pre
21,1775744160904,100,-279.271,,,,probe
21,1775744161209,405,-282.229,,,,probe
21,1775744161326,522,-302.271,,,,probe
21,1775744161804,1000,-384.279,,,,probe
22,1775744161804,0,-384.279,14756,1367637,1382393,pre
22,1775744161904,100,-382.300,,,,probe
22,1775744162104,300,-380.321,,,,probe
22,1775744162304,500,-383.321,,,,probe
22,1775744162804,1000,-381.364,,,,probe
23,1775744162804,0,-381.364,14644,1430201,1444845,pre
23,1775744162904,100,-381.343,,,,probe
23,1775744163203,399,-378.322,,,,probe
23,1775744163304,500,-380.405,,,,probe
23,1775744163804,1000,-384.363,,,,probe
24,1775744163804,0,-384.363,14760,1492845,1507605,pre
24,1775744163904,100,-384.321,,,,probe
24,1775744164104,300,-384.321,,,,probe
24,1775744164321,517,-398.363,,,,probe
24,1775744164804,1000,-385.262,,,,probe
25,1775744164804,0,-385.262,14794,1555605,1570399,pre
25,1775744164904,100,-383.304,,,,probe
25,1775744165104,300,-381.283,,,,probe
25,1775744165316,512,-395.304,,,,probe
25,1775744165904,1100,-382.248,,,,probe
26,1775744165904,0,-382.248,14678,1623007,1637685,pre
26,1775744166004,100,-380.290,,,,probe
26,1775744166339,435,-364.269,,,,probe
26,1775744166404,500,-329.206,,,,probe
26,1775744166904,1000,-328.280,,,,probe
27,1775744166904,0,-328.280,12606,1685493,1698099,pre
27,1775744167004,100,-328.175,,,,probe
27,1775744167214,310,-334.280,,,,probe
27,1775744167404,500,-325.259,,,,probe
27,1775744168003,1099,-324.210,,,,probe
28,1775744168003,0,-324.210,12450,1750899,1763349,pre
28,1775744168104,101,-325.148,,,,probe
28,1775744168304,301,-326.168,,,,probe
28,1775744168504,501,-322.252,,,,probe
28,1775744169003,1000,-323.222,,,,probe
29,1775744169003,0,-323.222,12412,1811253,1823665,pre
29,1775744169104,101,-322.222,,,,probe
29,1775744169314,311,-335.264,,,,probe
29,1775744169504,501,-323.243,,,,probe
29,1775744170004,1001,-323.352,,,,probe
30,1775744170004,0,-323.352,12417,1871473,1883890,pre
30,1775744170104,100,-321.394,,,,probe
30,1775744170323,319,-346.310,,,,probe
30,1775744170603,599,-320.454,,,,probe
30,1775744171103,1099,-320.371,,,,probe
31,1775744171103,0,-320.371,12302,1936594,1948896,pre
31,1775744171204,101,-421.371,,,,probe
31,1775744171404,301,-373.392,,,,probe
31,1775744171603,500,-372.405,,,,probe
31,1775744172103,1000,-370.467,,,,probe
32,1775744172103,0,-370.467,14226,1996800,2011026,pre
32,1775744172204,101,-375.447,,,,probe
32,1775744172403,300,-372.447,,,,probe
32,1775744172604,501,-369.488,,,,probe
32,1775744173103,1000,-368.516,,,,probe
33,1775744173103,0,-368.516,14151,2058930,2073081,pre
33,1775744173204,101,-367.537,,,,probe
33,1775744173403,300,-367.475,,,,probe
33,1775744173619,516,-279.519,,,,probe
33,1775744174104,1001,-365.519,,,,probe
34,1775744174104,0,-365.519,14036,2120985,2135021,pre
34,1775744174204,100,-365.519,,,,probe
34,1775744174404,300,-368.602,,,,probe
34,1775744174621,517,-383.521,,,,probe
34,1775744175104,1000,-366.500,,,,probe
35,1775744175104,0,-366.500,14074,2183021,2197095,pre
35,1775744175204,100,-364.542,,,,probe
35,1775744175404,300,-367.438,,,,probe
35,1775744175704,600,-369.767,,,,probe
35,1775744176204,1100,-363.788,,,,probe
36,1775744176204,0,-363.788,13969,2249703,2263672,pre
36,1775744176304,100,-316.746,,,,probe
36,1775744176504,300,-314.684,,,,probe
36,1775744176704,500,-314.905,,,,probe
36,1775744177204,1000,-312.967,,,,probe
37,1775744177204,0,-312.967,12018,2311576,2323594,pre
37,1775744177313,109,-323.009,,,,probe
37,1775744177504,300,-313.947,,,,probe
37,1775744177705,501,-318.146,,,,probe
37,1775744178331,1127,-341.167,,,,probe
38,1775744178331,0,-341.167,13101,2377930,2391031,pre
38,1775744178504,173,-312.187,,,,probe
38,1775744178704,373,-317.325,,,,probe
38,1775744178904,573,-315.325,,,,probe
38,1775744179404,1073,-313.325,,,,probe
39,1775744179404,0,-313.325,12032,2442103,2454135,pre
39,1775744179504,100,-311.387,,,,probe
39,1775744179803,399,-314.528,,,,probe
39,1775744179904,500,-315.444,,,,probe
39,1775744180404,1000,-312.444,,,,probe
40,1775744180404,0,-312.444,11998,2502135,2514133,pre
40,1775744180504,100,-310.486,,,,probe
40,1775744180704,300,-313.394,,,,probe
40,1775744181010,606,-317.290,,,,probe
40,1775744181504,1100,-411.331,,,,probe
41,1775744181504,0,-411.331,15795,2566741,2582536,pre
41,1775744181607,103,-414.271,,,,probe
41,1775744181804,300,-366.313,,,,probe
41,1775744182104,600,-364.292,,,,probe
41,1775744182504,1000,-363.333,,,,probe
42,1775744182504,0,-363.333,13952,2630536,2644488,pre
42,1775744182612,108,-371.215,,,,probe
42,1775744182804,300,-366.236,,,,probe
42,1775744183104,600,-364.215,,,,probe
42,1775744183504,1000,-360.298,,,,probe
43,1775744183504,0,-360.298,13835,2692392,2706227,pre
43,1775744183604,100,-360.256,,,,probe
43,1775744183804,300,-366.466,,,,probe
43,1775744184004,500,-366.404,,,,probe
43,1775744184504,1000,-364.425,,,,probe
44,1775744184504,0,-364.425,13994,2754131,2768125,pre
44,1775744184604,100,-362.487,,,,probe
44,1775744184804,300,-368.534,,,,probe
44,1775744185103,599,-363.638,,,,probe
44,1775744185504,1000,-368.534,,,,probe
45,1775744185504,0,-368.534,14152,2816029,2830181,pre
45,1775744185604,100,-366.618,,,,probe
45,1775744185804,300,-371.670,,,,probe
45,1775744186104,600,-367.670,,,,probe
45,1775744186504,1000,-365.774,,,,probe
46,1775744186504,0,-365.774,14046,2878181,2892227,pre
46,1775744186608,104,-369.855,,,,probe
46,1775744186903,399,-365.897,,,,probe
46,1775744187004,500,-366.876,,,,probe
46,1775744187604,1100,-317.834,,,,probe
47,1775744187604,0,-317.834,12205,2944835,2957040,pre
47,1775744187803,199,-318.145,,,,probe
47,1775744187904,300,-317.186,,,,probe
47,1775744188104,500,-317.124,,,,probe
47,1775744188604,1000,-316.124,,,,probe
48,1775744188604,0,-316.124,12139,3005040,3017179,pre
48,1775744188803,199,-318.424,,,,probe
48,1775744188904,300,-317.487,,,,probe
48,1775744189204,600,-319.466,,,,probe
48,1775744189605,1001,-316.275,,,,probe
49,1775744189605,0,-316.275,12145,3065083,3077228,pre
49,1775744189803,198,-319.317,,,,probe
49,1775744190007,402,-323.234,,,,probe
49,1775744190204,599,-316.296,,,,probe
49,1775744190609,1004,-318.100,,,,probe
50,1775744190609,0,-318.100,12215,3125324,3137539,pre
50,1775744190812,203,-323.204,,,,probe
50,1775744191004,395,-313.162,,,,probe
50,1775744191203,594,-412.100,,,,probe
50,1775744191636,1027,-344.980,,,,probe
51,1775744191636,0,-344.980,13247,3186787,3200034,pre
51,1775744191805,169,-367.980,,,,probe
51,1775744192004,368,-365.000,,,,probe
51,1775744192204,568,-361.084,,,,probe
51,1775744192703,1067,-356.934,,,,probe
52,1775744192703,0,-356.934,13706,3251202,3264908,pre
52,1775744192804,101,-362.934,,,,probe
52,1775744193004,301,-360.871,,,,probe
52,1775744193203,500,-360.975,,,,probe
52,1775744193704,1001,-363.757,,,,probe
53,1775744193704,0,-363.757,13968,3312908,3326876,pre
53,1775744193804,100,-363.674,,,,probe
53,1775744194006,302,-363.715,,,,probe
53,1775744194308,604,-366.674,,,,probe
53,1775744194704,1000,-356.579,,,,probe
54,1775744194704,0,-356.579,13693,3374684,3388377,pre
54,1775744194903,199,-356.600,,,,probe
54,1775744195103,399,-354.579,,,,probe
54,1775744195204,500,-355.579,,,,probe
54,1775744195704,1000,-354.398,,,,probe
55,1775744195704,0,-354.398,13609,3436185,3449794,pre
55,1775744195804,100,-359.398,,,,probe
55,1775744196104,400,-357.377,,,,probe
55,1775744196211,507,-364.336,,,,probe
55,1775744196704,1000,-358.213,,,,probe
56,1775744196704,0,-358.213,13755,3497698,3511453,pre
56,1775744196804,100,-361.275,,,,probe
56,1775744197004,300,-359.275,,,,probe
56,1775744197304,600,-310.275,,,,probe
56,1775744197804,1100,-310.104,,,,probe
57,1775744197804,0,-310.104,11908,3564157,3576065,pre
57,1775744197904,100,-310.062,,,,probe
57,1775744198204,400,-306.146,,,,probe
57,1775744198304,500,-311.125,,,,probe
57,1775744198804,1000,-306.229,,,,probe
58,1775744198804,0,-306.229,11759,3623969,3635728,pre
58,1775744198904,100,-306.208,,,,probe
58,1775744199203,399,-299.250,,,,probe
58,1775744199403,599,-301.229,,,,probe
58,1775744199903,1099,-300.283,,,,probe
59,1775744199903,0,-300.283,11531,3688432,3699963,pre
59,1775744200003,100,-300.241,,,,probe
59,1775744200224,321,-324.325,,,,probe
59,1775744200404,501,-302.221,,,,probe
59,1775744200903,1000,-403.351,,,,probe
60,1775744200903,0,-403.351,15489,3747867,3763356,pre
60,1775744201003,100,-403.351,,,,probe
60,1775744201203,300,-401.330,,,,probe
60,1775744201403,500,-401.330,,,,probe
60,1775744201903,1000,-399.411,,,,probe
61,1775744201903,0,-399.411,15337,3811164,3826501,pre
61,1775744202003,100,-399.349,,,,probe
61,1775744202204,301,-404.432,,,,probe
61,1775744202403,500,-401.432,,,,probe
61,1775744202904,1001,-352.924,,,,probe
62,1775744202904,0,-352.924,13552,3874501,3888053,pre
62,1775744203004,100,-352.945,,,,probe
62,1775744203303,399,-352.904,,,,probe
62,1775744203503,599,-350.945,,,,probe
62,1775744204004,1100,-351.524,,,,probe
63,1775744204004,0,-351.524,13499,3940853,3954352,pre
63,1775744204104,100,-349.544,,,,probe
63,1775744204332,328,-383.503,,,,probe
63,1775744204504,500,-353.544,,,,probe
63,1775744205104,1100,-349.142,,,,probe
64,1775744205104,0,-349.142,13407,4007056,4020463,pre
64,1775744205304,200,-351.226,,,,probe
64,1775744205404,300,-349.226,,,,probe
64,1775744205608,504,-348.838,,,,probe
64,1775744206104,1000,-348.901,,,,probe
65,1775744206104,0,-348.901,13398,4068367,4081765,pre
65,1775744206307,203,-355.817,,,,probe
65,1775744206504,400,-350.838,,,,probe
65,1775744206612,508,-358.525,,,,probe
65,1775744207203,1099,-349.588,,,,probe
66,1775744207203,0,-349.588,13424,4134373,4147797,pre
66,1775744207304,101,-350.525,,,,probe
66,1775744207504,301,-348.567,,,,probe
66,1775744207704,501,-346.567,,,,probe
66,1775744208208,1005,-348.546,,,,probe
67,1775744208208,0,-348.546,13384,4195989,4209373,pre
67,1775744208309,101,-301.546,,,,probe
67,1775744208603,395,-291.510,,,,probe
67,1775744208804,596,-295.489,,,,probe
67,1775744209303,1095,-296.489,,,,probe
68,1775744209303,0,-296.489,11385,4261693,4273078,pre
68,1775744209404,101,-297.406,,,,probe
68,1775744209603,300,-294.438,,,,probe
68,1775744209804,501,-298.396,,,,probe
68,1775744210304,1001,-300.396,,,,probe
69,1775744210304,0,-300.396,11535,4321078,4332613,pre
69,1775744210404,100,-298.459,,,,probe
69,1775744210616,312,-308.371,,,,probe
69,1775744210903,599,-396.413,,,,probe
69,1775744211403,1099,-397.351,,,,probe
70,1775744211403,0,-397.351,15258,4385221,4400479,pre
70,1775744211504,101,-396.413,,,,probe
70,1775744211703,300,-395.309,,,,probe
70,1775744211903,500,-398.372,,,,probe
70,1775744212403,1000,-400.268,,,,probe
71,1775744212403,0,-400.268,15370,4448287,4463657,pre
71,1775744212503,100,-398.372,,,,probe
71,1775744212703,300,-398.530,,,,probe
71,1775744212903,500,-397.635,,,,probe
71,1775744213403,1000,-346.593,,,,probe
72,1775744213403,0,-346.593,13309,4511561,4524870,pre
72,1775744213510,107,-353.530,,,,probe
72,1775744213704,301,-352.809,,,,probe
72,1775744213903,500,-349.767,,,,probe
72,1775744214404,1001,-349.871,,,,probe
73,1775744214404,0,-349.871,13435,4572870,4586305,pre
73,1775744214504,100,-349.850,,,,probe
73,1775744214733,329,-381.001,,,,probe
73,1775744214904,500,-350.063,,,,probe
73,1775744215404,1000,-352.021,,,,probe
74,1775744215404,0,-352.021,13518,4634209,4647727,pre
74,1775744215603,199,-347.176,,,,probe
74,1775744215804,400,-349.092,,,,probe
74,1775744216003,599,-346.155,,,,probe
74,1775744216404,1000,-349.176,,,,probe
75,1775744216404,0,-349.176,13408,4695535,4708943,pre
75,1775744216504,100,-347.176,,,,probe
75,1775744216704,300,-345.258,,,,probe
75,1775744216904,500,-351.154,,,,probe
75,1775744217404,1000,-351.154,,,,probe
76,1775744217404,0,-351.154,13484,4757039,4770523,pre
