wallMs,obsHostFrame,obsHostTimeMs,guestFrame,seekAccum,filteredOffsetMs,expectedHostFrame,driftMs
1775786918333,23520,1775786917536,9216,40944,-241.000,50208.0,-1.000
1775786918440,47712,1775786918040,14352,40944,-241.000,55344.0,-1.000
1775786918523,47712,1775786918040,18336,40944,-241.000,59328.0,-1.000
1775786918629,47712,1775786918040,23424,40944,-241.000,64416.0,-1.000
1775786918723,47712,1775786918040,27936,40944,-241.000,68928.0,-1.000
1775786918837,64704,1775786918393,33408,40944,-238.300,76785.6,-50.700
1775786918921,64704,1775786918393,37440,40944,-238.300,80817.6,-50.700
1775786919026,64704,1775786918393,42480,40944,-238.300,85857.6,-50.700
1775786919132,64704,1775786918393,47568,40944,-238.300,90945.6,-50.700
1775786919182,64704,1775786918393,50016,40944,-238.300,93345.6,-49.700
1775786919284,64704,1775786918393,54864,40944,-238.300,98241.6,-50.700
1775786919385,88944,1775786918898,59712,42891,-238.300,102849.6,-5.137
1775786919536,88944,1775786918898,66960,42891,-238.300,110097.6,-5.137
1775786919587,88944,1775786918898,69408,42891,-238.300,112545.6,-5.137
1775786919688,88944,1775786918898,74304,42891,-238.300,117393.6,-4.137
1775786919839,113280,1775786919405,81552,42891,-235.870,124422.2,0.433
1775786919890,113280,1775786919405,83952,42891,-235.870,126870.2,-0.567
1775786919990,113280,1775786919405,88752,42891,-235.870,131670.2,-0.567
1775786920091,113280,1775786919405,93600,42891,-235.870,136518.2,-0.567
1775786920192,113280,1775786919405,98496,42891,-235.870,141366.2,0.433
1775786920293,113280,1775786919405,103344,42891,-235.870,146214.2,0.433
1775786920395,137520,1775786919911,108192,42891,-235.870,150822.2,5.433
1775786920495,137520,1775786919911,112992,42891,-235.870,155622.2,5.433
1775786920596,137520,1775786919911,117840,42891,-235.870,160470.2,5.433
1775786920696,137520,1775786919911,122688,42891,-235.870,165270.2,6.433
1775786920798,137520,1775786919911,127536,42891,-235.583,170180.0,5.146
1775786920899,161712,1775786920414,132384,42891,-235.583,174884.0,8.146
1775786921000,161712,1775786920414,137232,42891,-235.583,179732.0,8.146
1775786921101,161712,1775786920414,142080,42891,-235.583,184580.0,8.146
1775786921202,161712,1775786920414,146928,42891,-235.583,189428.0,8.146
1775786921303,161712,1775786920414,151824,42891,-235.583,194276.0,9.146
1775786921403,185904,1775786920919,156624,42891,-235.583,198836.0,14.146
1775786921504,185904,1775786920919,161424,42891,-235.583,203684.0,13.146
1775786921605,185904,1775786920919,166272,42891,-235.583,208532.0,13.146
1775786921707,185904,1775786920919,171168,42891,-235.583,213428.0,13.146
1775786921808,214896,1775786921523,176016,42891,-235.325,218096.4,16.887
1775786921909,214896,1775786921523,180864,42891,-235.325,222944.4,16.887
1775786922009,214896,1775786921523,185664,42891,-235.325,227744.4,16.887
1775786922110,214896,1775786921523,190512,42891,-235.325,232592.4,16.887
1775786922210,214896,1775786921523,195312,42891,-235.325,237392.4,16.887
1775786922312,214896,1775786921523,200208,42891,-235.325,242288.4,16.887
1775786922412,234288,1775786921927,205008,42891,-235.325,246896.4,20.887
1775786922512,234288,1775786921927,209856,42089,-235.325,251696.4,5.179
1775786922614,234288,1775786921927,214704,42089,-235.325,256592.4,4.179
1775786922715,234288,1775786921927,219552,42089,-235.325,261440.4,4.179
1775786922815,258528,1775786922432,224352,42089,-235.092,266011.6,8.946
1775786922915,258528,1775786922432,229152,42089,-235.092,270811.6,8.946
1775786923016,258528,1775786922432,234000,42089,-235.092,275659.6,8.946
1775786923117,258528,1775786922432,238848,42089,-235.092,280507.6,8.946
1775786923218,258528,1775786922432,243744,42089,-235.092,285355.6,9.946
1775786923319,282720,1775786922936,248544,42089,-235.092,290011.6,12.946
1775786923420,282720,1775786922936,253440,42089,-235.092,294859.6,13.946
1775786923521,282720,1775786922936,258240,42089,-235.092,299707.6,12.946
1775786923622,282720,1775786922936,263088,42089,-235.092,304555.6,12.946
1775786923723,282720,1775786922936,267936,42089,-235.092,309403.6,12.946
1775786923824,282720,1775786922936,272784,42089,-235.483,314232.8,13.337
1775786923925,306864,1775786923439,277632,42089,-235.483,318936.8,16.337
1775786924026,306864,1775786923439,282480,42089,-235.483,323784.8,16.337
1775786924127,306864,1775786923439,287328,42089,-235.483,328632.8,16.337
1775786924229,306864,1775786923439,292224,42089,-235.483,333528.8,16.337
1775786924330,306864,1775786923439,297072,42089,-235.483,338376.8,16.337
1775786924431,328704,1775786923893,301920,42089,-235.483,345432.8,-29.663
1775786924532,328704,1775786923893,306768,43228,-235.483,350280.8,-5.934
1775786924582,328704,1775786923893,309216,43228,-235.483,352680.8,-4.934
1775786924683,328704,1775786923893,314016,43228,-235.483,357528.8,-5.934
1775786924834,328704,1775786923893,321312,43228,-235.835,364759.9,-4.582
1775786924936,352896,1775786924398,326160,43228,-235.835,369415.9,-0.582
1775786924986,352896,1775786924398,328608,43228,-235.835,371815.9,0.418
1775786925087,352896,1775786924398,333408,43228,-235.835,376663.9,-0.582
1775786925188,352896,1775786924398,338256,43228,-235.835,381511.9,-0.582
1775786925289,352896,1775786924398,343104,43228,-235.835,386359.9,-0.582
1775786925390,377088,1775786924902,347952,43228,-235.835,391015.9,3.418
1775786925492,377088,1775786924902,352848,43228,-235.835,395911.9,3.418
1775786925592,377088,1775786924902,357648,43228,-235.835,400711.9,3.418
1775786925694,377088,1775786924902,362544,43228,-235.835,405607.9,3.418
1775786925795,377088,1775786924902,367392,43228,-236.351,410431.1,3.935
1775786925895,401376,1775786925408,372192,43228,-236.351,414943.1,9.935
1775786925995,401376,1775786925408,376992,43228,-236.351,419743.1,9.935
1775786926096,401376,1775786925408,381840,43228,-236.351,424591.1,9.935
1775786926196,401376,1775786925408,386640,43228,-236.351,429391.1,9.935
1775786926298,401376,1775786925408,391536,43228,-236.351,434287.1,9.935
1775786926399,425568,1775786925912,396432,43228,-236.351,438943.1,14.935
1775786926500,425568,1775786925912,401232,43228,-236.351,443791.1,13.935
1775786926602,425568,1775786925912,406128,43228,-236.351,448687.1,13.935
1775786926703,425568,1775786925912,411024,43228,-236.351,453535.1,14.935
1775786926804,449904,1775786926419,415824,43228,-237.016,458015.2,21.599
1775786926904,449904,1775786926419,420624,42399,-237.016,462815.2,4.329
1775786927006,449904,1775786926419,425520,42399,-237.016,467711.2,4.329
1775786927106,449904,1775786926419,430320,42399,-237.016,472511.2,4.329
1775786927207,449904,1775786926419,435168,42399,-237.016,477359.2,4.329
1775786927308,449904,1775786926419,440016,42399,-237.016,482207.2,4.329
1775786927409,474144,1775786926924,444864,42399,-237.016,487007.2,5.329
1775786927510,474144,1775786926924,449712,42399,-237.016,491855.2,5.329
1775786931828,19872,1775786931018,9360,37885,-238.730,47293.0,-0.999
1775786931932,43680,1775786931514,14400,37885,-239.057,52269.3,0.328
1775786932026,43680,1775786931514,18912,37885,-239.057,56781.3,0.328
1775786932121,43680,1775786931514,23472,37885,-239.057,61341.3,0.328
1775786932225,43680,1775786931514,28464,37885,-239.057,66333.3,0.328
1775786932320,43680,1775786931514,33024,37885,-239.057,70893.3,0.328
1775786932426,43680,1775786931514,38112,37885,-239.057,75981.3,0.328
1775786932519,67536,1775786932012,42576,37885,-239.057,80541.3,-1.672
1775786932625,67536,1775786932012,47664,37885,-239.057,85629.3,-1.672
1775786932726,67536,1775786932012,52512,37885,-239.057,90477.3,-1.672
1775786932776,67536,1775786932012,54912,37885,-237.451,92954.3,-3.278
1775786932877,67536,1775786932012,59760,37885,-237.451,97802.3,-3.278
1775786932980,91776,1775786932517,64704,37885,-237.451,103562.3,-20.278
1775786933080,91776,1775786932517,69504,38664,-237.451,108362.3,-4.049
1775786933181,91776,1775786932517,74352,38664,-237.451,113210.3,-4.049
1775786933283,91776,1775786932517,79248,38664,-237.451,118106.3,-4.049
