seq,hostTimeMs,rxWallMs,anchorFramePos,anchorTimeNs,framePos,timeNs,playing
75,1775781696110,1775781696504,4944,1008089441431845,1817136,1008127195179799,1
76,1775781696614,1775781697090,4944,1008089441431845,1841328,1008127699632924,1
77,1775781697120,1775781697506,4944,1008089441431845,1865616,1008128205560528,1
78,1775781697625,1775781698103,4944,1008089441431845,1889856,1008128710677663,1
79,1775781698131,1775781698511,4944,1008089441431845,1914144,1008129216195215,1
80,1775781698635,1775781699127,4944,1008089441431845,1938336,1008129720852142,1
81,1775781699139,1775781699509,4944,1008089441431845,1962528,1008130224801152,1
82,1775781699644,1775781700050,4944,1008089441431845,1986768,1008130729202402,1
83,1775781700148,1775781700594,4944,1008089441431845,2010960,1008131233217298,1
84,1775781700653,1775781701090,4944,1008089441431845,2035200,1008131738293444,1
85,1775781701157,1775781701507,4944,1008089441431845,2059344,1008132241985318,1
86,1775781701611,1775781702109,4944,1008089441431845,2081136,1008132695996516,1
87,1775781702114,1775781702518,4944,1008089441431845,2105328,1008133199534120,1
88,1775781702619,1775781703118,4944,1008089441431845,2129568,1008133704331620,1
89,1775781703122,1775781703506,4944,1008089441431845,2153712,1008134207747661,1
90,1775781703625,1775781704147,4944,1008089441431845,2177856,1008134710761307,1
91,1775781704130,1775781704509,4944,1008089441431845,2202048,1008135214945994,1
92,1775781704635,1775781705062,4944,1008089441431845,2226336,1008135720265161,1
93,1775781705139,1775781705509,4944,1008089441431845,2250528,1008136224637556,1
94,1775781705644,1775781706142,4944,1008089441431845,2274768,1008136729634327,1
95,1775781706149,1775781706507,4944,1008089441431845,2299008,1008137234229952,1
96,1775781706653,1775781707115,4944,1008089441431845,2323200,1008137738536566,1
97,1775781707107,1775781707507,4944,1008089441431845,2344992,1008138192880420,1
98,1775781707612,1775781708138,4944,1008089441431845,2369232,1008138697712399,1
99,1775781708116,1775781708528,4944,1008089441431845,2393424,1008139201374691,1
100,1775781708622,1775781709060,4944,1008089441431845,2417712,1008139707223180,1
101,1775781709127,1775781709520,4944,1008089441431845,2441904,1008140212092294,1
102,1775781709631,1775781710093,4944,1008089441431845,2466144,1008140716456773,1
103,1775781710135,1775781710506,4944,1008089441431845,2490336,1008141220188857,1
104,1775781710639,1775781711108,4944,1008089441431845,2514528,1008141724613283,1
105,1775781711145,1775781711521,4944,1008089441431845,2538816,1008142230337710,1
106,1775781711651,1775781712131,4944,1008089441431845,2563104,1008142736543127,1
107,1775781712105,1775781712508,4944,1008089441431845,2584896,1008143190292658,1
108,1775781712611,1775781713055,4944,1008089441431845,2609184,1008143696697606,1
109,1775781713116,1775781713555,4944,1008089441431845,2633424,1008144201741564,1
110,1775781713622,1775781714091,4944,1008089441431845,2657712,1008144707603439,1
111,1775781714127,1775781714536,4944,1008089441431845,2681952,1008145212672188,1
112,1775781714633,1775781715100,4944,1008089441431845,2706240,1008145718831928,1
113,1775781715138,1775781715513,4944,1008089441431845,2730480,1008146223538334,1
114,1775781715642,1775781716125,4944,1008089441431845,2754672,1008146727623125,1
115,1775781716147,1775781716505,4944,1008089441431845,2778912,1008147232669531,1
116,1775781716653,1775781717148,4944,1008089441431845,2803200,1008147738339479,1
117,1775781717106,1775781717506,4944,1008089441431845,2824944,1008148191861198,1
118,1775781717612,1775781718072,4944,1008089441431845,2849184,1008148697093333,1
119,1775781718119,1775781718580,4944,1008089441431845,2873520,1008149203924947,1
120,1775781718623,1775781719093,4944,1008089441431845,2897760,1008149708703645,1
121,1775781719128,1775781719505,4944,1008089441431845,2922000,1008150213377811,1
122,1775781719634,1775781720121,4944,1008089441431845,2946288,1008150719652238,1
123,1775781720139,1775781720523,4944,1008089441431845,2970528,1008151224644790,1
124,1775781720644,1775781721142,4944,1008089441431845,2994768,1008151729406769,1
125,1775781721147,1775781721510,4944,1008089441431845,3018912,1008152232845988,1
126,1775781721652,1775781722065,4944,1008089441431845,3043152,1008152737778071,1
127,1775781722107,1775781722507,4944,1008089441431845,3064992,1008153192582029,1
128,1775781722612,1775781723096,4944,1008089441431845,3089232,1008153697872029,1
129,1775781723119,1775781723514,4944,1008089441431845,3113520,1008154204011404,1
130,1775781723626,1775781724113,4944,1008089441431845,3137904,1008154711291404,1
131,1775781724130,1775781724508,4944,1008089441431845,3162096,1008155215254841,1
132,1775781724636,1775781725137,4944,1008089441431845,3186384,1008155721465049,1
133,1775781725140,1775781725503,4944,1008089441431845,3210576,1008156225751299,1
134,1775781725646,1775781726058,4944,1008089441431845,3234864,1008156731251507,1
135,1775781726151,1775781726516,4944,1008089441431845,3259104,1008157236342965,1
136,1775781726654,1775781727083,4944,1008089441431845,3283248,1008157739876767,1
137,1775781727109,1775781727505,4944,1008089441431845,3305088,1008158194888590,1
138,1775781727615,1775781728110,4944,1008089441431845,3329376,1008158700710204,1
139,1775781728119,1775781728514,4944,1008089441431845,3353568,1008159204882912,1
140,1775781728625,1775781729132,4944,1008089441431845,3377808,1008159710105881,1
141,1775781729129,1775781729505,4944,1008089441431845,3402048,1008160214408485,1
142,1775781729634,1775781730053,4944,1008089441431845,3426288,1008160719427912,1
143,1775781730139,1775781730506,4944,1008089441431845,3450480,1008161224115724,1
144,1775781730645,1775781731088,4944,1008089441431845,3474816,1008161730248484,1
145,1775781731149,1775781731505,4944,1008089441431845,3499008,1008162234328849,1
146,1775781731653,1775781732100,4944,1008089441431845,3523200,1008162738330880,1
147,1775781732157,1775781732508,4944,1008089441431845,3547392,1008163242732234,1
148,1775781732611,1775781733125,4944,1008089441431845,3569184,1008163696638692,1
149,1775781733116,1775781733514,4944,1008089441431845,3593424,1008164201878014,1
150,1775781733623,1775781734147,4944,1008089441431845,3617712,1008164708093066,1
151,1775781734128,1775781734590,4944,1008089441431845,3641952,1008165213078587,1
152,1775781734633,1775781735068,4944,1008089441431845,3666240,1008165718840983,1
153,1775781735138,1775781735508,4944,1008089441431845,3690480,1008166223494993,1
154,1775781735643,1775781736094,4944,1008089441431845,3714720,1008166728608014,1
155,1775781736150,1775781736509,4944,1008089441431845,3739056,1008167235370565,1
156,1775781736654,1775781737118,4944,1008089441431845,3763248,1008167739543586,1
157,1775781737107,1775781737502,4944,1008089441431845,3784992,1008168192799575,1
158,1775781737612,1775781738140,4944,1008089441431845,3809232,1008168697395461,1
159,1775781738117,1775781738512,4944,1008089441431845,3833424,1008169201951815,1
160,1775781738622,1775781739063,4944,1008089441431845,3857712,1008169707583169,1
161,1775781739128,1775781739507,4944,1008089441431845,3882000,1008170213614210,1
162,1775781739732,1775781740002,4944,1008089441431845,3910992,1008170817828324,1
163,1775781740137,1775781740506,4944,1008089441431845,3930432,1008171222588897,1
164,1775781740643,1775781741111,4944,1008089441431845,3954720,1008171728713272,1
165,1775781741148,1775781741507,4944,1008089441431845,3978960,1008172233174418,1
166,1775781741653,1775781742034,4944,1008089441431845,4003200,1008172738631709,1
167,1775781742108,1775781742506,4944,1008089441431845,4025040,1008173193608896,1
168,1775781742613,1775781743056,4944,1008089441431845,4049280,1008173698772542,1
169,1775781743119,1775781743507,4944,1008089441431845,4073568,1008174204767229,1
170,1775781743624,1775781744086,4944,1008089441431845,4097760,1008174709044156,1
171,1775781744129,1775781744503,4944,1008089441431845,4122000,1008175214132594,1
172,1775781744635,1775781745104,4944,1008089441431845,4146336,1008175720382385,1
173,1775781745141,1775781745504,4944,1008089441431845,4170576,1008176226140093,1
174,1775781745645,1775781746132,4944,1008089441431845,4194816,1008176730786031,1
175,1775781746149,1775781746503,4944,1008089441431845,4219008,1008177234604780,1
176,1775781746654,1775781747037,4944,1008089441431845,4243248,1008177739310093,1
177,1775781747107,1775781747503,4944,1008089441431845,4264992,1008178192166759,1
178,1775781747611,1775781748082,4944,1008089441431845,4289184,1008178696563999,1
179,1775781748115,1775781748503,4944,1008089441431845,4313376,1008179200491759,1
180,1775781748620,1775781749097,4944,1008089441431845,4337568,1008179704937904,1
181,1775781749126,1775781749506,4944,1008089441431845,4361856,1008180210925144,1
182,1775781749630,1775781750123,4944,1008089441431845,4386048,1008180714918998,1
183,1775781750136,1775781750505,4944,1008089441431845,4410384,1008181221559831,1
184,1775781750643,1775781751147,4944,1008089441431845,4434720,1008181728714414,1
185,1775781751149,1775781751505,4944,1008089441431845,4459008,1008182234708268,1
186,1775781751653,1775781752068,4944,1008089441431845,4483200,1008182738375299,1
187,1775781752108,1775781752506,4944,1008089441431845,4504992,1008183193013007,1
188,1775781752613,1775781753097,4944,1008089441431845,4529280,1008183698465247,1
189,1775781753119,1775781753502,4944,1008089441431845,4553568,1008184204766392,1
190,1775781753622,1775781754115,4944,1008089441431845,4577712,1008184707821913,1
191,1775781754128,1775781754505,4944,1008089441431845,4602000,1008185213713684,1
192,1775781754633,1775781755142,4944,1008089441431845,4626240,1008185718623996,1
193,1775781755139,1775781755506,4944,1008089441431845,4650480,1008186224035662,1
194,1775781755644,1775781756063,4944,1008089441431845,4674768,1008186729709620,1
195,1775781756148,1775781756506,4944,1008089441431845,4698960,1008187233516495,1
196,1775781756655,1775781757089,4944,1008089441431845,4723248,1008187740035974,1
197,1775781757111,1775781757508,4944,1008089441431845,4745136,1008188195993682,1
198,1775781757616,1775781758110,4944,1008089441431845,4769424,1008188701428266,1
199,1775781758123,1775781758504,4944,1008089441431845,4793712,1008189207925557,1
200,1775781758626,1775781759136,4944,1008089441431845,4817904,1008189711829151,1
201,1775781759130,1775781759514,4944,1008089441431845,4842096,1008190215628161,1
202,1775781759635,1775781760054,4944,1008089441431845,4866336,1008190720597484,1
203,1775781760141,1775781760511,4944,1008089441431845,4890624,1008191226734463,1
204,1775781760646,1775781761090,4944,1008089441431845,4914864,1008191731889046,1
205,1775781761151,1775781761507,4944,1008089441431845,4939104,1008192236346025,1
206,1775781761607,1775781762105,4944,1008089441431845,4960992,1008192692504254,1
207,1775781762113,1775781762592,4944,1008089441431845,4985280,1008193198724878,1
208,1775781762618,1775781763129,4944,1008089441431845,5009520,1008193703469670,1
209,1775781763123,1775781763505,4944,1008089441431845,5033760,1008194208667430,1
210,1775781763627,1775781764051,4944,1008089441431845,5057952,1008194712695190,1
211,1775781764134,1775781764504,4944,1008089441431845,5082288,1008195219635242,1
212,1775781764640,1775781765074,4944,1008089441431845,5106528,1008195725083263,1
213,1775781765145,1775781765509,4944,1008089441431845,5130768,1008196230105190,1
214,1775781765650,1775781766096,4944,1008089441431845,5155056,1008196735771127,1
215,1775781766155,1775781766534,4944,1008089441431845,5179296,1008197240873054,1
216,1775781766611,1775781767122,4944,1008089441431845,5201184,1008197696526856,1
217,1775781767118,1775781767504,4944,1008089441431845,5225472,1008198203131439,1
218,1775781767622,1775781768146,4944,1008089441431845,5249712,1008198707638105,1
