wallMs,obsHostFrame,obsHostTimeMs,guestFrame,seekAccum,filteredOffsetMs,expectedHostFrame,driftMs
1775781659657,43248,1775781659154,8496,47798,-231.201,56294.3,-0.007
1775781659762,43248,1775781659154,13536,47798,-231.201,61334.3,-0.007
1775781659854,43248,1775781659154,18000,47798,-231.201,65750.3,0.993
1775781659961,43248,1775781659154,23088,47798,-231.201,70886.3,-0.007
1775781660056,43248,1775781659154,27648,47798,-231.201,75446.3,-0.007
1775781660162,67104,1775781659651,32736,47798,-231.201,80534.3,-0.007
1775781660258,67104,1775781659651,37344,47798,-231.201,85142.3,-0.007
1775781660353,67104,1775781659651,41952,47798,-231.201,89702.3,0.993
1775781660457,67104,1775781659651,46944,47798,-231.201,94694.3,0.993
1775781660518,88896,1775781660105,49872,47798,-231.201,97622.3,0.993
1775781660619,88896,1775781660105,54672,47798,-231.281,102466.5,0.073
1775781660720,88896,1775781660105,59520,47798,-231.281,107314.5,0.073
1775781660822,88896,1775781660105,64416,47798,-231.281,112210.5,0.073
1775781660923,88896,1775781660105,69264,47798,-231.281,117058.5,0.073
1775781661024,88896,1775781660105,74160,47798,-231.281,121906.5,1.073
1775781661125,113088,1775781660610,78960,47798,-231.281,126706.5,1.073
1775781661226,113088,1775781660610,83808,47798,-231.281,131554.5,1.073
1775781661326,113088,1775781660610,88656,47798,-231.281,136354.5,2.073
1775781661427,113088,1775781660610,93504,47798,-231.281,141202.5,2.073
1775781661528,137280,1775781661113,98352,47798,-231.281,146098.5,1.073
1775781661629,137280,1775781661113,103152,47798,-231.353,150943.1,0.145
1775781661730,137280,1775781661113,108000,47798,-231.353,155791.1,0.145
1775781661830,137280,1775781661113,112848,47798,-231.353,160591.1,1.145
1775781661932,137280,1775781661113,117696,47798,-231.353,165487.1,0.145
1775781662034,137280,1775781661113,122592,47798,-231.353,170383.1,0.145
1775781662135,161568,1775781661619,127440,47798,-231.353,175231.1,0.145
1775781662235,161568,1775781661619,132240,47798,-231.353,180031.1,0.145
1775781662336,161568,1775781661619,137088,47798,-231.353,184879.1,0.145
1775781662436,161568,1775781661619,141888,47798,-231.353,189679.1,0.145
1775781662537,185760,1775781662123,146784,47798,-231.353,194527.1,1.145
1775781662638,185760,1775781662123,151632,47798,-231.418,199371.9,1.209
1775781662739,185760,1775781662123,156432,47798,-231.418,204219.9,0.209
1775781662840,185760,1775781662123,161280,47798,-231.418,209067.9,0.209
1775781662941,185760,1775781662123,166128,47798,-231.418,213915.9,0.209
1775781663042,185760,1775781662123,170976,47798,-231.418,218763.9,0.209
1775781663143,185760,1775781662123,175824,47798,-231.418,223611.9,0.209
1775781663244,185760,1775781662123,180672,47798,-231.418,228459.9,0.209
1775781663345,210048,1775781662629,185520,47798,-231.418,233307.9,0.209
1775781663445,210048,1775781662629,190368,47798,-231.418,238107.9,1.209
1775781663547,210048,1775781662629,195216,47798,-231.418,243003.9,0.209
1775781663648,234288,1775781663135,200064,47798,-231.418,247803.9,1.209
1775781663749,234288,1775781663135,204912,47798,-231.418,252651.9,1.209
1775781663850,234288,1775781663135,209760,47798,-231.418,257499.9,1.209
1775781663951,234288,1775781663135,214608,47798,-231.418,262347.9,1.209
1775781664052,234288,1775781663135,219504,47798,-231.418,267195.9,2.209
1775781664154,234288,1775781663135,224352,47798,-231.418,272091.9,1.209
1775781664255,258528,1775781663639,229200,47798,-231.418,276987.9,0.209
1775781664356,258528,1775781663639,234048,47798,-231.476,281833.2,0.267
1775781664458,258528,1775781663639,238944,47798,-231.476,286729.2,0.267
1775781664559,282768,1775781664144,243840,47798,-232.128,291545.8,1.920
1775781664661,282768,1775781664144,248688,47798,-232.128,296441.8,0.920
1775781664763,282768,1775781664144,253584,47798,-232.128,301337.8,0.920
1775781664814,282768,1775781664144,256032,47798,-232.128,303785.8,0.920
1775781664914,282768,1775781664144,260880,47798,-232.128,308585.8,1.920
1775781665016,282768,1775781664144,265728,47798,-232.128,313481.8,0.920
1775781665117,306960,1775781664648,270576,47798,-232.128,318329.8,0.920
1775781665218,306960,1775781664648,275424,47798,-232.128,323177.8,0.920
1775781665318,306960,1775781664648,280272,47798,-232.128,327977.8,1.920
1775781665419,306960,1775781664648,285072,47798,-232.128,332825.8,0.920
1775781665519,306960,1775781664648,289920,47798,-232.128,337625.8,1.920
1775781665620,331056,1775781665150,294768,47798,-232.128,342473.8,1.920
1775781665721,331056,1775781665150,299616,47798,-232.715,347293.7,2.507
1775781665823,331056,1775781665150,304464,47798,-232.715,352189.7,1.507
