wallMs,obsHostFrame,obsHostTimeMs,guestFrame,seekAccum,filteredOffsetMs,expectedHostFrame,driftMs
1775782023306,18672,1775782022421,9312,40224,-242.000,49536.0,0.000
1775782023400,42960,1775782022927,13872,40224,-242.000,54048.0,1.000
1775782023504,42960,1775782022927,18864,40224,-242.000,59040.0,1.000
1775782023599,42960,1775782022927,23424,40224,-242.000,63600.0,1.000
1775782023703,42960,1775782022927,28416,40224,-242.000,68592.0,1.000
1775782023798,42960,1775782022927,32976,40224,-242.000,73152.0,1.000
1775782023902,65040,1775782023387,37968,40224,-242.000,78144.0,1.000
1775782023997,65040,1775782023387,42528,40224,-245.900,82516.8,4.900
1775782024102,65040,1775782023387,47568,40224,-245.900,87556.8,4.900
1775782024203,65040,1775782023387,52416,40224,-245.900,92404.8,4.900
1775782024305,65040,1775782023387,57264,40224,-245.900,97300.8,3.900
1775782024405,89376,1775782023893,62112,40224,-245.900,102148.8,3.900
1775782024456,89376,1775782023893,64512,40224,-245.900,104596.8,2.900
1775782024556,89376,1775782023893,69360,40224,-245.900,109396.8,3.900
1775782024658,89376,1775782023893,74208,40224,-245.900,114292.8,2.900
1775782024758,89376,1775782023893,79056,40224,-245.900,119092.8,3.900
1775782024859,113616,1775782024398,83904,40224,-244.710,123997.9,2.710
1775782024960,113616,1775782024398,88752,40224,-244.710,128845.9,2.710
1775782025062,113616,1775782024398,93648,40224,-244.710,133741.9,2.710
1775782025163,113616,1775782024398,98496,40224,-244.710,138589.9,2.710
1775782025265,113616,1775782024398,103392,40224,-244.710,143485.9,2.710
1775782025366,137856,1775782024904,108240,40224,-244.710,148285.9,3.710
1775782025466,137856,1775782024904,113040,40224,-244.710,153085.9,3.710
1775782025568,137856,1775782024904,117936,40224,-244.710,157981.9,3.710
1775782025668,137856,1775782024904,122736,40224,-244.710,162781.9,3.710
1775782025770,162144,1775782025410,127632,40224,-243.739,167724.5,2.739
1775782025871,162144,1775782025410,132432,40224,-243.739,172572.5,1.739
1775782025971,162144,1775782025410,137280,40224,-243.739,177372.5,2.739
1775782026073,162144,1775782025410,142128,40224,-243.739,182268.5,1.739
1775782026173,162144,1775782025410,146976,40224,-243.739,187068.5,2.739
1775782026274,186384,1775782025915,151824,40224,-243.739,191916.5,2.739
1775782026376,186384,1775782025915,156720,40224,-243.739,196812.5,2.739
1775782026477,186384,1775782025915,161520,40224,-243.739,201660.5,1.739
1775782026578,186384,1775782025915,166368,40224,-243.739,206508.5,1.739
1775782026679,186384,1775782025915,171216,40224,-243.739,211356.5,1.739
1775782026780,210624,1775782026419,176064,40224,-241.765,216347.3,-1.235
1775782026880,210624,1775782026419,180912,40224,-241.765,221147.3,-0.235
1775782026982,210624,1775782026419,185808,40224,-241.765,226043.3,-0.235
1775782027083,210624,1775782026419,190656,40224,-241.765,230891.3,-0.235
1775782027184,210624,1775782026419,195504,40224,-241.765,235739.3,-0.235
1775782027286,210624,1775782026419,200352,40224,-241.765,240635.3,-1.235
1775782027387,234864,1775782026925,205248,40224,-241.765,245435.3,0.765
1775782027488,234864,1775782026925,210048,40224,-241.765,250283.3,-0.235
1775782027588,234864,1775782026925,214896,40224,-241.765,255083.3,0.765
1775782027690,234864,1775782026925,219792,40224,-241.765,259979.3,0.765
1775782027791,256704,1775782027380,224640,40224,-239.989,264912.6,-1.011
1775782027893,256704,1775782027380,229488,40224,-239.989,269808.6,-2.011
1775782027994,256704,1775782027380,234384,40224,-239.989,274656.6,-1.011
1775782028094,256704,1775782027380,239184,40224,-239.989,279456.6,-1.011
1775782028195,256704,1775782027380,244032,40224,-239.989,284304.6,-1.011
1775782028295,256704,1775782027380,248832,40224,-239.989,289104.6,-1.011
1775782028397,280992,1775782027886,253680,40224,-239.989,294000.6,-2.011
1775782028498,280992,1775782027886,258576,40224,-239.989,298848.6,-1.011
1775782028599,280992,1775782027886,263424,40224,-239.989,303696.6,-1.011
1775782028700,280992,1775782027886,268272,40224,-239.989,308544.6,-1.011
1775782028801,280992,1775782027886,273072,40224,-239.989,313392.6,-2.011
1775782028902,305232,1775782028391,277968,40224,-238.390,318317.3,-2.610
1775782029003,305232,1775782028391,282816,40224,-238.390,323165.3,-2.610
1775782029104,305232,1775782028391,287616,40224,-238.390,328013.3,-3.610
1775782029205,305232,1775782028391,292464,40224,-238.390,332861.3,-3.610
1775782029305,305232,1775782028391,297312,40224,-238.390,337661.3,-2.610
1775782029356,329520,1775782028896,299760,40224,-238.390,340157.3,-3.610
1775782029508,329520,1775782028896,307008,40224,-238.390,347453.3,-4.610
1775782029558,329520,1775782028896,309456,40224,-238.390,349853.3,-3.610
1775782029659,329520,1775782028896,314304,40224,-238.390,354701.3,-3.610
1775782029760,329520,1775782028896,319152,40224,-238.390,359549.3,-3.610
1775782029861,353760,1775782029401,324000,40224,-236.951,364466.4,-5.049
1775782029963,353760,1775782029401,328896,40224,-236.951,369362.4,-5.049
1775782030063,353760,1775782029401,333696,40224,-236.951,374162.4,-5.049
1775782030164,353760,1775782029401,338496,40224,-236.951,379010.4,-6.049
1775782030264,353760,1775782029401,343344,40224,-236.951,383810.4,-5.049
1775782030416,378000,1775782029906,350640,40224,-236.951,391106.4,-5.049
1775782030467,378000,1775782029906,353088,40224,-236.951,393554.4,-5.049
1775782030569,378000,1775782029906,357936,40224,-236.951,398450.4,-6.049
1775782030669,378000,1775782029906,362784,40224,-236.951,403250.4,-5.049
1775782030770,402288,1775782030412,367632,40224,-236.951,408098.4,-5.049
1775782030871,402288,1775782030412,372480,40224,-235.656,413008.5,-6.344
1775782030972,402288,1775782030412,377328,40224,-235.656,417856.5,-6.344
1775782031072,402288,1775782030412,382128,40224,-235.656,422656.5,-6.344
1775782031174,402288,1775782030412,387024,40224,-235.656,427552.5,-6.344
1775782031275,402288,1775782030412,391872,40224,-235.656,432400.5,-6.344
1775782031376,402288,1775782030412,396720,40224,-235.656,437248.5,-6.344
1775782031477,426480,1775782030917,401568,40224,-235.656,442048.5,-5.344
1775782031578,426480,1775782030917,406416,40224,-235.656,446896.5,-5.344
1775782031678,426480,1775782030917,411216,40224,-235.656,451696.5,-5.344
1775782031780,450624,1775782031420,416112,40224,-235.656,456592.5,-5.344
1775782031882,450624,1775782031420,420960,40224,-234.990,461520.5,-7.010
1775782031982,450624,1775782031420,425808,40224,-234.990,466320.5,-6.010
1775782032083,450624,1775782031420,430656,40224,-234.990,471168.5,-6.010
1775782032184,450624,1775782031420,435504,40224,-234.990,476016.5,-6.010
1775782032286,450624,1775782031420,440352,40224,-234.990,480912.5,-7.010
1775782032386,474816,1775782031923,445200,40224,-234.990,485760.5,-7.010
1775782032487,474816,1775782031923,450000,40224,-234.990,490608.5,-8.010
1775782032588,474816,1775782031923,454896,40224,-234.990,495456.5,-7.010
1775782032689,474816,1775782031923,459744,40224,-234.990,500304.5,-7.010
1775782032790,474816,1775782031923,464592,40224,-234.990,505152.5,-7.010
1775782032891,499104,1775782032429,469440,40224,-237.291,509890.0,-4.709
1775782032991,499104,1775782032429,474240,40224,-237.291,514690.0,-4.709
1775782033092,499104,1775782032429,479088,40224,-237.291,519538.0,-4.709
1775782033193,499104,1775782032429,483936,40224,-237.291,524386.0,-4.709
1775782033296,499104,1775782032429,488880,40224,-237.291,529330.0,-4.709
1775782033395,520944,1775782032885,493632,40224,-237.291,534034.0,-3.709
1775782033497,520944,1775782032885,498528,40224,-237.291,538930.0,-3.709
1775782033598,520944,1775782032885,503376,40224,-237.291,543778.0,-3.709
1775782033698,520944,1775782032885,508176,40224,-237.291,548578.0,-3.709
1775782033799,520944,1775782032885,513024,40224,-237.291,553426.0,-3.709
1775782033900,545280,1775782033391,517872,40224,-237.291,558322.0,-4.709
1775782034002,545280,1775782033391,522768,40224,-238.262,563171.4,-3.738
1775782034102,545280,1775782033391,527568,40224,-238.262,567971.4,-3.738
1775782034204,545280,1775782033391,532416,40224,-238.262,572867.4,-4.738
1775782034305,545280,1775782033391,537264,40224,-238.262,577715.4,-4.738
1775782034406,545280,1775782033391,542160,40224,-238.262,582563.4,-3.738
1775782034507,569568,1775782033897,547008,40224,-238.262,587411.4,-3.738
1775782034558,569568,1775782033897,549456,40224,-238.262,589859.4,-3.738
1775782039989,18912,1775782039181,9216,37678,-225.050,46893.6,0.009
1775782040083,18912,1775782039181,13728,37678,-223.945,51458.6,-1.096
1775782040188,18912,1775782039181,18768,37678,-223.945,56498.6,-1.096
1775782040283,42672,1775782039676,23328,37678,-223.945,61058.6,-1.096
1775782040388,42672,1775782039676,28368,37678,-223.945,66098.6,-1.096
1775782040483,42672,1775782039676,32928,37678,-223.945,70658.6,-1.096
1775782040589,42672,1775782039676,38016,37678,-223.945,75746.6,-1.096
1775782040682,64800,1775782040137,42480,37678,-223.945,80210.6,-1.096
1775782040786,64800,1775782040137,47472,37678,-224.451,85178.4,-0.591
1775782040887,64800,1775782040137,52320,37678,-224.451,90026.4,-0.591
1775782040987,64800,1775782040137,57120,37678,-224.451,94826.4,-0.591
1775782041087,64800,1775782040137,61968,37678,-224.451,99626.4,0.409
1775782041188,89040,1775782040642,66768,37678,-224.451,104474.4,-0.591
1775782041238,89040,1775782040642,69216,37678,-224.451,106874.4,0.409
1775782041340,89040,1775782040642,74064,37678,-224.451,111770.4,-0.591
1775782041442,89040,1775782040642,78960,37678,-224.451,116666.4,-0.591
1775782041542,89040,1775782040642,83808,37678,-224.451,121466.4,0.409
1775782041644,113232,1775782041147,88656,37678,-224.451,126314.4,0.409
1775782041744,113232,1775782041147,93456,37678,-224.451,131114.4,0.409
1775782041845,113232,1775782041147,98304,37678,-224.906,135940.5,0.864
1775782041946,113232,1775782041147,103152,37678,-224.906,140788.5,0.864
1775782042047,137472,1775782041651,108000,37678,-224.906,145684.5,-0.136
1775782042148,137472,1775782041651,112848,37678,-224.906,150532.5,-0.136
1775782042249,137472,1775782041651,117696,37678,-224.906,155380.5,-0.136
1775782042350,137472,1775782041651,122544,37678,-224.906,160228.5,-0.136
1775782042451,137472,1775782041651,127392,37678,-224.906,165076.5,-0.136
1775782042553,161760,1775782042157,132288,37678,-224.906,169972.5,-0.136
1775782042654,161760,1775782042157,137136,37678,-224.906,174820.5,-0.136
1775782042754,161760,1775782042157,141984,37678,-224.906,179620.5,0.864
1775782042855,161760,1775782042157,146832,37678,-225.315,184448.9,1.274
1775782042956,161760,1775782042157,151632,37678,-225.315,189296.9,0.274
1775782043057,161760,1775782042157,156480,37678,-225.315,194144.9,0.274
1775782043159,185952,1775782042661,161376,37678,-225.315,199040.9,0.274
1775782043259,185952,1775782042661,166176,37678,-225.315,203840.9,0.274
1775782043360,185952,1775782042661,171072,37678,-225.315,208688.9,1.274
1775782043461,185952,1775782042661,175872,37678,-225.315,213536.9,0.274
1775782043562,185952,1775782042661,180720,37678,-225.315,218384.9,0.274
1775782043663,210240,1775782043168,185568,37678,-225.315,223184.9,1.274
1775782043764,210240,1775782043168,190416,37678,-225.315,228032.9,1.274
1775782043865,210240,1775782043168,195264,37678,-225.684,232863.2,1.642
1775782043966,210240,1775782043168,200112,37678,-225.684,237711.2,1.642
1775782044066,210240,1775782043168,204912,37678,-225.684,242511.2,1.642
1775782044167,234432,1775782043672,209760,37678,-225.684,247359.2,1.642
1775782044268,234432,1775782043672,214608,37678,-225.684,252207.2,1.642
1775782044369,234432,1775782043672,219456,37678,-225.684,257055.2,1.642
1775782044468,234432,1775782043672,224256,37678,-225.684,261807.2,2.642
1775782044570,234432,1775782043672,229104,37678,-225.684,266703.2,1.642
1775782044671,258720,1775782044177,233952,37678,-225.684,271599.2,0.642
1775782044772,258720,1775782044177,238800,37678,-225.684,276447.2,0.642
1775782044873,258720,1775782044177,243648,37678,-226.015,281279.3,0.974
1775782044973,258720,1775782044177,248448,37678,-226.015,286079.3,0.974
1775782045074,258720,1775782044177,253296,37678,-226.015,290927.3,0.974
1775782046155,18480,1775782045417,9120,33748,-228.914,42916.1,-1.003
1775782046249,18480,1775782045417,13680,33748,-228.914,47428.1,-0.003
1775782046355,18480,1775782045417,18768,33748,-228.914,52516.1,-0.003
1775782046449,42816,1775782045924,23280,33748,-228.914,57028.1,-0.003
1775782046554,42816,1775782045924,28320,33748,-228.914,62068.1,-0.003
1775782046648,42816,1775782045924,32832,33748,-228.914,66580.1,-0.003
1775782046755,42816,1775782045924,37968,33748,-228.914,71716.1,-0.003
1775782046850,64848,1775782046383,42480,33748,-231.522,76150.9,1.606
1775782046954,64848,1775782046383,47520,33748,-231.522,81142.9,2.606
1775782047056,64848,1775782046383,52368,33748,-231.522,86038.9,1.606
1775782047106,64848,1775782046383,54816,33748,-231.522,88438.9,2.606
1775782047207,64848,1775782046383,59664,33748,-231.522,93286.9,2.606
1775782047308,64848,1775782046383,64512,33748,-231.522,98134.9,2.606
1775782047409,89136,1775782046889,69360,33748,-231.522,102982.9,2.606
1775782047510,89136,1775782046889,74208,33748,-231.522,107830.9,2.606
1775782049252,18720,1775782048551,9168,31873,-235.983,41040.8,0.004
1775782049357,18720,1775782048551,14208,31873,-235.983,46080.8,0.004
1775782049452,18720,1775782048551,18768,31873,-235.983,50640.8,0.004
1775782049558,43008,1775782049057,23856,31873,-235.983,55728.8,0.004
1775782049652,43008,1775782049057,28416,31873,-235.983,60240.8,1.004
1775782049755,43008,1775782049057,33312,31873,-235.983,65184.8,0.004
1775782049849,43008,1775782049057,37872,31873,-235.885,69701.5,0.906
1775782049954,65088,1775782049517,42912,31873,-235.885,74741.5,0.906
1775782050050,65088,1775782049517,47472,31873,-235.885,79349.5,-0.094
1775782050111,65088,1775782049517,50400,31873,-235.885,82277.5,-0.094
1775782050212,65088,1775782049517,55248,31873,-235.885,87125.5,-0.094
1775782050313,65088,1775782049517,60144,31873,-235.885,91973.5,0.906
1775782050414,65088,1775782049517,64944,31873,-235.885,96821.5,-0.094
1775782050515,89280,1775782050020,69792,31873,-235.885,101717.5,-1.094
1775782050616,89280,1775782050020,74640,31873,-235.885,106565.5,-1.094
1775782050717,89280,1775782050020,79488,31873,-235.885,111413.5,-1.094
1775782050818,89280,1775782050020,84336,31873,-235.796,116265.8,-1.183
1775782050919,113616,1775782050528,89184,31873,-235.796,121065.8,-0.183
1775782051019,113616,1775782050528,93984,31873,-235.796,125865.8,-0.183
1775782051120,113616,1775782050528,98832,31873,-235.796,130713.8,-0.183
1775782051220,113616,1775782050528,103632,31873,-235.796,135513.8,-0.183
1775782051322,113616,1775782050528,108528,31873,-235.796,140409.8,-0.183
1775782051422,113616,1775782050528,113376,31873,-235.796,145209.8,0.817
1775782051523,137952,1775782051034,118176,31873,-235.796,150105.8,-1.183
1775782051624,137952,1775782051034,123024,31873,-235.796,154953.8,-1.183
1775782051725,137952,1775782051034,127872,31873,-235.796,159801.8,-1.183
1775782051826,137952,1775782051034,132720,31873,-235.717,164653.6,-1.262
1775782051927,162144,1775782051538,137568,31873,-235.717,169501.6,-1.262
1775782052028,162144,1775782051538,142416,31873,-235.717,174349.6,-1.262
1775782052130,162144,1775782051538,147312,31873,-235.717,179245.6,-1.262
1775782052231,162144,1775782051538,152160,31873,-235.717,184093.6,-1.262
1775782052331,162144,1775782051538,156960,31873,-235.717,188893.6,-1.262
1775782052432,162144,1775782051538,161856,31873,-235.717,193741.6,-0.262
1775782052534,186432,1775782052045,166704,31873,-235.717,198589.6,-0.262
1775782052634,186432,1775782052045,171504,31873,-235.717,203389.6,-0.262
1775782052736,186432,1775782052045,176400,31873,-235.717,208285.6,-0.262
1775782052838,186432,1775782052045,181296,31873,-235.845,213175.4,-0.134
1775782052938,210720,1775782052550,186096,31873,-235.845,218023.4,-1.134
1775782053039,210720,1775782052550,190992,31873,-235.845,222871.4,-0.134
1775782053140,210720,1775782052550,195792,31873,-235.845,227719.4,-1.134
1775782053242,210720,1775782052550,200688,31873,-235.845,232615.4,-1.134
1775782053343,210720,1775782052550,205536,31873,-235.845,237463.4,-1.134
1775782053444,210720,1775782052550,210384,31873,-235.845,242311.4,-1.134
1775782053545,235008,1775782053056,215232,31873,-235.845,247159.4,-1.134
1775782053646,235008,1775782053056,220080,31873,-235.845,252007.4,-1.134
1775782053747,235008,1775782053056,224928,31873,-235.845,256855.4,-1.134
1775782053848,235008,1775782053056,229776,31873,-235.961,261697.9,-1.019
1775782053950,256800,1775782053510,234672,31873,-235.961,266593.9,-1.019
1775782054050,256800,1775782053510,239472,31873,-235.961,271393.9,-1.019
1775782054151,256800,1775782053510,244320,31873,-235.961,276241.9,-1.019
1775782054252,256800,1775782053510,249168,31873,-235.961,281089.9,-1.019
1775782054353,271392,1775782053815,254016,31873,-235.961,285889.9,-0.019
1775782056019,18624,1775782055288,8784,33592,-236.158,42376.4,-0.009
1775782056123,18624,1775782055288,13776,33592,-236.158,47368.4,-0.009
1775782056218,42432,1775782055784,18336,33592,-236.158,51928.4,-0.009
1775782056321,42432,1775782055784,23280,33592,-236.158,56872.4,-0.009
1775782056425,42432,1775782055784,28272,33592,-236.158,61864.4,-0.009
1775782056521,42432,1775782055784,32880,33592,-236.158,66472.4,-0.009
1775782056627,42432,1775782055784,37968,33592,-236.158,71560.4,-0.009
1775782056740,64944,1775782056254,43392,33592,-236.158,76936.4,0.991
1775782056823,64944,1775782056254,47376,33592,-235.642,80945.2,0.476
1775782056924,64944,1775782056254,52224,33592,-235.642,85793.2,0.476
1775782057024,64944,1775782056254,57072,33592,-235.642,90593.2,1.476
1775782058908,18960,1775782058174,8976,33975,-235.178,42903.5,0.990
1775782059015,18960,1775782058174,14064,33975,-234.760,48059.5,-0.427
1775782059111,42720,1775782058669,18672,33975,-234.760,52667.5,-0.427
1775782059216,42720,1775782058669,23712,33975,-234.760,57707.5,-0.427
1775782059311,42720,1775782058669,28272,33975,-234.760,62267.5,-0.427
1775782059417,42720,1775782058669,33360,33975,-234.760,67355.5,-0.427
1775782059511,42720,1775782058669,37920,33975,-234.760,71867.5,0.573
1775782059607,65280,1775782059139,42480,33975,-234.760,76475.5,-0.427
1775782059712,65280,1775782059139,47520,33975,-234.760,81515.5,-0.427
1775782059773,65280,1775782059139,50448,33975,-234.760,84443.5,-0.427
1775782059873,65280,1775782059139,55296,33975,-234.384,89261.6,0.197
1775782059974,65280,1775782059139,60096,33975,-234.384,94109.6,-0.803
1775782060075,89472,1775782059644,64944,33975,-234.384,98909.6,0.197
1775782060176,89472,1775782059644,69792,33975,-234.384,103757.6,0.197
1775782060277,89472,1775782059644,74640,33975,-234.384,108605.6,0.197
1775782060377,89472,1775782059644,79488,33975,-234.384,113405.6,1.197
1775782060479,89472,1775782059644,84336,33975,-234.384,118301.6,0.197
1775782060580,113760,1775782060149,89184,33975,-234.384,123197.6,-0.803
1775782060680,113760,1775782060149,93984,33975,-234.384,127997.6,-0.803
1775782060781,113760,1775782060149,98832,33975,-234.384,132845.6,-0.803
