eventId,wallMs,msSinceSeek,driftMs,correctionFrames,oldVf,newVf,kind
0,1775794086290,0,20.439,-785,29491804,29491019,pre
0,1775794086392,102,3.085,,,,probe
0,1775794086594,304,3.085,,,,probe
0,1775794086796,506,3.085,,,,probe
0,1775794087302,1012,-1.507,,,,probe
0,1775794088311,2021,-3.740,,,,probe
1,1775794098823,0,-20.441,785,30090923,30091708,pre
1,1775794098923,100,-3.087,,,,probe
1,1775794099126,303,0.074,,,,probe
1,1775794099327,504,0.074,,,,probe
1,1775794099831,1008,2.074,,,,probe
1,1775794100893,2070,4.819,,,,probe
2,1775794135134,0,21.218,-815,31833820,31833005,pre
2,1775794135234,100,4.239,,,,probe
2,1775794135436,302,5.239,,,,probe
2,1775794135689,555,5.239,,,,probe
2,1775794136196,1062,-0.131,,,,probe
2,1775794137209,2075,-1.664,,,,probe
3,1775794165087,0,-20.994,806,33273005,33273811,pre
3,1775794165188,101,-4.203,,,,probe
3,1775794165390,303,-4.203,,,,probe
3,1775794165591,504,-4.203,,,,probe
3,1775794166096,1009,-7.349,,,,probe
3,1775794167107,2020,-7.781,,,,probe
4,1775794262197,0,20.969,-805,37934899,37934094,pre
4,1775794262298,101,4.198,,,,probe
4,1775794262500,303,4.198,,,,probe
4,1775794262703,506,3.198,,,,probe
4,1775794263207,1010,5.035,,,,probe
4,1775794264219,2022,6.688,,,,probe
5,1775794358112,0,-20.514,788,42536814,42537602,pre
5,1775794358213,101,-3.098,,,,probe
5,1775794358416,304,-4.098,,,,probe
5,1775794358619,507,-4.098,,,,probe
5,1775794359124,1012,0.110,,,,probe
5,1775794360135,2023,1.110,,,,probe
6,1775794482123,0,-21.125,811,48489602,48490413,pre
6,1775794482223,100,-3.229,,,,probe
6,1775794482426,303,-3.229,,,,probe
6,1775794482626,503,-3.229,,,,probe
6,1775794483133,1010,-3.229,,,,probe
6,1775794484194,2071,-6.199,,,,probe
7,1775794517826,0,77.516,-2977,50203372,50200395,pre
7,1775794517927,101,15.495,,,,probe
7,1775794518130,304,15.631,,,,probe
7,1775794518332,506,14.631,,,,probe
7,1775794518836,1010,14.631,,,,probe
7,1775794519896,2070,15.753,,,,probe
8,1775794530096,0,20.663,-793,50790507,50789714,pre
8,1775794530196,100,5.142,,,,probe
8,1775794530399,303,4.142,,,,probe
8,1775794530601,505,4.142,,,,probe
8,1775794531105,1009,8.262,,,,probe
8,1775794532114,2018,9.069,,,,probe
9,1775794715234,0,21.679,-832,59674418,59673586,pre
9,1775794715336,102,2.345,,,,probe
9,1775794715588,354,3.345,,,,probe
9,1775794715791,557,3.345,,,,probe
9,1775794716297,1063,4.411,,,,probe
9,1775794717308,2074,6.270,,,,probe
10,1775794779194,0,-20.893,802,62750388,62751190,pre
10,1775794779294,100,-3.185,,,,probe
10,1775794779496,302,-4.185,,,,probe
10,1775794779699,505,-5.185,,,,probe
10,1775794780203,1009,-4.595,,,,probe
10,1775794781215,2021,-0.665,,,,probe
11,1775794906194,0,20.451,-785,68842697,68841912,pre
11,1775794906295,101,4.097,,,,probe
11,1775794906497,303,4.097,,,,probe
11,1775794906698,504,4.097,,,,probe
11,1775794907203,1009,4.523,,,,probe
11,1775794908214,2020,6.806,,,,probe
12,1775795278511,0,-20.582,790,86716710,86717500,pre
12,1775795278612,101,-4.124,,,,probe
12,1775795278812,301,-3.124,,,,probe
12,1775795279013,502,-3.124,,,,probe
12,1775795279519,1008,-6.030,,,,probe
12,1775795280528,2017,-3.546,,,,probe
13,1775795330133,0,20.451,-785,89189380,89188595,pre
13,1775795330235,102,3.097,,,,probe
13,1775795330488,355,5.097,,,,probe
13,1775795330691,558,4.097,,,,probe
13,1775795331198,1065,6.433,,,,probe
13,1775795332207,2074,6.236,,,,probe
14,1775795438201,0,-20.113,772,94382116,94382888,pre
14,1775795438301,100,-3.030,,,,probe
14,1775795438504,303,-3.030,,,,probe
14,1775795438707,506,-3.030,,,,probe
14,1775795439213,1012,-4.972,,,,probe
14,1775795440222,2021,-1.821,,,,probe
15,1775795496120,0,22.174,-851,97157117,97156266,pre
15,1775795496221,101,4.445,,,,probe
15,1775795496423,303,4.445,,,,probe
15,1775795496626,506,3.445,,,,probe
15,1775795497130,1010,1.782,,,,probe
15,1775795498191,2071,-0.715,,,,probe
16,1775795774519,0,-20.261,778,110524437,110525215,pre
16,1775795774620,101,-4.053,,,,probe
16,1775795774822,303,-4.053,,,,probe
16,1775795775024,505,-3.053,,,,probe
16,1775795775527,1008,2.355,,,,probe
16,1775795776537,2018,4.321,,,,probe
