seq,t1,t2,t3,rttMs,rawOffsetMs,filteredOffsetMs,phase
0,1775739993213,1775739992478,1775739993249,36,-753,,init
1,1775739993318,1775739992580,1775739993337,19,-747,,init
2,1775739993419,1775739992680,1775739993429,10,-744,,init
3,1775739993521,1775739992782,1775739993532,11,-744,,init
4,1775739993622,1775739992884,1775739993632,10,-743,,init
5,1775739993724,1775739992987,1775739993738,14,-744,,init
6,1775739993825,1775739993087,1775739993834,9,-742,,init
7,1775739993927,1775739993207,1775739993953,26,-733,,init
8,1775739994029,1775739993290,1775739994040,11,-744,,init
9,1775739994132,1775739993395,1775739994144,12,-743,,init
10,1775739995737,1775739995003,1775739995755,18,-743,-742.100,steady
11,1775739996737,1775739996047,1775739996798,61,-720,-742.190,steady
12,1775739997737,1775739997002,1775739997751,14,-742,-742.171,steady
13,1775739998737,1775739998093,1775739998846,109,-698,-742.154,steady
14,1775739999737,1775739999006,1775739999755,18,-740,-742.139,steady
15,1775740000737,1775740000037,1775740000786,49,-724,-742.125,steady
16,1775740001737,1775740000999,1775740001747,10,-743,-742.212,steady
17,1775740002738,1775740002089,1775740002842,104,-701,-742.291,steady
18,1775740003738,1775740003003,1775740003754,16,-743,-742.362,steady
19,1775740004738,1775740004002,1775740004752,14,-743,-742.426,steady
20,1775740005738,1775740005059,1775740005812,74,-716,-742.483,steady
21,1775740006738,1775740006004,1775740006752,14,-741,-742.335,steady
22,1775740007737,1775740007004,1775740007755,18,-742,-742.201,steady
23,1775740008738,1775740008005,1775740008755,17,-741,-742.081,steady
24,1775740009738,1775740009052,1775740009805,67,-719,-741.973,steady
25,1775740010738,1775740010003,1775740010753,15,-742,-741.876,steady
26,1775740011738,1775740011039,1775740011791,53,-725,-741.888,steady
27,1775740012738,1775740012005,1775740012756,18,-742,-741.899,steady
28,1775740013737,1775740013001,1775740013753,16,-744,-741.909,steady
29,1775740014737,1775740013999,1775740014750,13,-744,-742.118,steady
30,1775740015737,1775740015001,1775740015747,10,-741,-742.007,steady
31,1775740016737,1775740016024,1775740016772,35,-730,-741.906,steady
32,1775740017737,1775740017013,1775740017762,25,-736,-741.815,steady
33,1775740018737,1775740018070,1775740018819,82,-708,-741.734,steady
34,1775740019738,1775740019003,1775740019753,15,-742,-741.660,steady
35,1775740020737,1775740019999,1775740020747,10,-743,-741.794,steady
36,1775740021763,1775740021032,1775740021818,55,-758,-741.915,steady
37,1775740022781,1775740022069,1775740022837,56,-740,-742.023,steady
38,1775740023750,1775740023013,1775740023763,13,-743,-742.121,steady
39,1775740024737,1775740024045,1775740024794,57,-720,-742.209,steady
40,1775740025737,1775740025007,1775740025779,42,-751,-742.288,steady
41,1775740026769,1775740026035,1775740026787,18,-743,-742.359,steady
42,1775740027737,1775740027039,1775740027786,49,-722,-742.423,steady
43,1775740028785,1775740028097,1775740028869,84,-730,-742.481,steady
44,1775740029737,1775740029007,1775740029774,37,-748,-742.533,steady
45,1775740030762,1775740030030,1775740030809,47,-755,-742.580,steady
46,1775740031765,1775740031069,1775740031817,52,-722,-743.122,steady
47,1775740032737,1775740032004,1775740032794,57,-761,-743.610,steady
48,1775740033744,1775740033040,1775740033789,45,-726,-744.049,steady
49,1775740034737,1775740034014,1775740034778,41,-743,-743.944,steady
50,1775740035754,1775740035029,1775740035777,23,-736,-743.149,steady
51,1775740036757,1775740036044,1775740036792,35,-730,-742.434,steady
52,1775740037781,1775740037061,1775740037832,51,-745,-741.791,steady
53,1775740038737,1775740038008,1775740038770,33,-745,-741.212,steady
54,1775740039737,1775740039038,1775740039788,51,-724,-740.691,steady
55,1775740040738,1775740040031,1775740040779,41,-727,-741.122,steady
56,1775740041767,1775740041101,1775740041873,106,-719,-741.509,steady
57,1775740042737,1775740042063,1775740042820,83,-715,-741.859,steady
58,1775740043737,1775740043045,1775740043822,85,-734,-740.373,steady
59,1775740044751,1775740044016,1775740044766,15,-742,-740.535,steady
60,1775740045771,1775740045033,1775740045782,11,-743,-740.782,steady
61,1775740046772,1775740046038,1775740046818,46,-757,-741.004,steady
62,1775740047737,1775740047006,1775740047769,32,-747,-741.203,steady
63,1775740048739,1775740048043,1775740048790,51,-721,-741.383,steady
64,1775740049765,1775740049041,1775740049947,182,-815,-741.545,steady
65,1775740050738,1775740050005,1775740050754,16,-741,-741.490,steady
66,1775740051737,1775740050998,1775740051748,11,-744,-741.741,steady
67,1775740052737,1775740052000,1775740052751,14,-744,-741.967,steady
68,1775740053738,1775740053003,1775740053753,15,-742,-742.170,steady
69,1775740054738,1775740054210,1775740054975,237,-646,-742.353,steady
70,1775740055738,1775740055030,1775740055785,47,-731,-742.518,steady
71,1775740056738,1775740056000,1775740056751,13,-744,-742.666,steady
72,1775740057737,1775740057002,1775740057751,14,-742,-742.800,steady
73,1775740058738,1775740058003,1775740058758,20,-745,-742.920,steady
74,1775740059737,1775740059004,1775740059763,26,-746,-743.028,steady
75,1775740060737,1775740060004,1775740060757,20,-743,-743.125,steady
76,1775740061738,1775740061003,1775740061756,18,-744,-743.012,steady
77,1775740062738,1775740062100,1775740062856,118,-697,-743.111,steady
78,1775740063737,1775740063007,1775740063759,22,-741,-743.200,steady
79,1775740064737,1775740064051,1775740064804,67,-719,-743.280,steady
80,1775740065738,1775740065005,1775740065758,20,-743,-743.352,steady
81,1775740066738,1775740066006,1775740066757,19,-741,-743.117,steady
82,1775740067738,1775740067009,1775740067761,23,-740,-742.905,steady
83,1775740068737,1775740068033,1775740068784,47,-727,-742.715,steady
84,1775740069738,1775740069058,1775740069810,72,-716,-742.543,steady
85,1775740070738,1775740070006,1775740070759,21,-742,-742.389,steady
86,1775740071738,1775740071107,1775740071858,120,-691,-742.350,steady
87,1775740072738,1775740072012,1775740072765,27,-739,-742.315,steady
88,1775740073738,1775740073058,1775740073812,74,-717,-742.283,steady
89,1775740074737,1775740074088,1775740074843,106,-702,-742.255,steady
90,1775740075738,1775740075002,1775740075753,15,-743,-742.330,steady
91,1775740076738,1775740076012,1775740076762,24,-738,-742.397,steady
92,1775740077738,1775740077005,1775740077754,16,-741,-742.457,steady
93,1775740078738,1775740078015,1775740078765,27,-736,-742.511,steady
94,1775740079738,1775740079101,1775740079854,116,-695,-742.560,steady
95,1775740080738,1775740080141,1775740080894,156,-675,-742.404,steady
96,1775740081738,1775740081009,1775740081760,22,-740,-742.264,steady
97,1775740082738,1775740082006,1775740082760,22,-743,-742.337,steady
98,1775740083737,1775740083086,1775740083840,103,-702,-742.404,steady
99,1775740084738,1775740084111,1775740084866,128,-691,-742.463,steady
