seq,hostTimeMs,rxWallMs,anchorFramePos,anchorTimeNs,framePos,timeNs,playing
0,1775782022421,1775782022818,4512,1008453211511342,18672,1008453506324623,1
1,1775782022927,1775782023330,4512,1008453211511342,42960,1008454012025248,1
2,1775782023387,1775782023826,4512,1008453211511342,65040,1008454472054727,1
3,1775782023893,1775782024352,4512,1008453211511342,89376,1008454978764414,1
4,1775782024398,1775782024826,4512,1008453211511342,113616,1008455483658424,1
5,1775782024904,1775782025378,4512,1008453211511342,137856,1008455989099101,1
6,1775782025410,1775782025791,4512,1008453211511342,162144,1008456495189830,1
7,1775782025915,1775782026300,4512,1008453211511342,186384,1008457000525090,1
8,1775782026419,1775782026780,4512,1008453211511342,210624,1008457504844986,1
9,1775782026925,1775782027332,4512,1008453211511342,234864,1008458010318527,1
10,1775782027380,1775782027785,4512,1008453211511342,256704,1008458464908006,1
11,1775782027886,1775782028347,4512,1008453211511342,280992,1008458971312381,1
12,1775782028391,1775782028858,4512,1008453211511342,305232,1008459476130506,1
13,1775782028896,1775782029371,4512,1008453211511342,329520,1008459981726235,1
14,1775782029401,1775782029841,4512,1008453211511342,353760,1008460486602381,1
15,1775782029906,1775782030395,4512,1008453211511342,378000,1008460991746026,1
16,1775782030412,1775782030781,4512,1008453211511342,402288,1008461497643266,1
17,1775782030917,1775782031426,4512,1008453211511342,426480,1008462001914620,1
18,1775782031420,1775782031782,4512,1008453211511342,450624,1008462504894828,1
19,1775782031923,1775782032343,4512,1008453211511342,474816,1008463008572119,1
20,1775782032429,1775782032819,4512,1008453211511342,499104,1008463514745140,1
21,1775782032885,1775782033365,4512,1008453211511342,520944,1008463970439306,1
22,1775782033391,1775782033876,4512,1008453211511342,545280,1008464476634619,1
23,1775782033897,1775782034491,4512,1008453211511342,569568,1008464982701181,1
24,1775782033897,1775782034695,4512,1008453211511342,569568,1008464982701181,0
0,1775782036213,1775782036741,4512,1008467298190868,4512,1008467298190868,0
0,1775782039181,1775782039613,4656,1008469969395346,18912,1008470266166127,1
1,1775782039676,1775782040226,4656,1008469969395346,42672,1008470761519252,1
2,1775782040137,1775782040637,4656,1008469969395346,64800,1008471222578262,1
3,1775782040642,1775782041147,4656,1008469969395346,89040,1008471727746126,1
4,1775782041147,1775782041660,4656,1008469969395346,113232,1008472232001387,1
5,1775782041651,1775782042067,4656,1008469969395346,137472,1008472736254147,1
6,1775782042157,1775782042580,4656,1008469969395346,161760,1008473242287845,1
7,1775782042661,1775782043105,4656,1008469969395346,185952,1008473746507271,1
8,1775782043168,1775782043614,4656,1008469969395346,210240,1008474252971125,1
9,1775782043672,1775782044115,4656,1008469969395346,234432,1008474756993781,1
10,1775782044177,1775782044628,4656,1008469969395346,258720,1008475262103260,1
11,1775782044580,1775782045141,4656,1008469969395346,278064,1008475665604042,0
0,1775782045417,1775782045794,4368,1008476208659250,18480,1008476502025916,1
1,1775782045924,1775782046375,4368,1008476208659250,42816,1008477009026489,1
2,1775782046383,1775782046827,4368,1008476208659250,64848,1008477468251749,1
3,1775782046889,1775782047395,4368,1008476208659250,89136,1008477974046489,1
4,1775782046990,1775782047597,4368,1008476208659250,93984,1008478074898155,0
0,1775782048551,1775782048919,4656,1008479343420655,18720,1008479636253259,1
1,1775782049057,1775782049544,4656,1008479343420655,43008,1008480142442738,1
2,1775782049517,1775782049954,4656,1008479343420655,65088,1008480602381852,1
3,1775782050020,1775782050475,4656,1008479343420655,89280,1008481105891019,1
4,1775782050528,1775782050912,4656,1008479343420655,113616,1008481613189039,1
5,1775782051034,1775782051489,4656,1008479343420655,137952,1008482119516435,1
6,1775782051538,1775782051907,4656,1008479343420655,162144,1008482623871956,1
7,1775782052045,1775782052513,4656,1008479343420655,186432,1008483130254403,1
8,1775782052550,1775782052923,4656,1008479343420655,210720,1008483635716174,1
9,1775782053056,1775782053539,4656,1008479343420655,235008,1008484141621851,1
10,1775782053510,1775782053911,4656,1008479343420655,256800,1008484595857371,1
11,1775782053815,1775782054356,4656,1008479343420655,271392,1008484900083882,0
0,1775782054467,1775782054937,4560,1008485552218829,4560,1008485552218829,0
0,1775782055288,1775782055690,4368,1008486076388256,18624,1008486373227371,1
1,1775782055784,1775782056200,4368,1008486076388256,42432,1008486869545496,1
2,1775782056254,1775782056711,4368,1008486076388256,64944,1008487339143516,1
3,1775782056556,1775782057123,4368,1008486076388256,79440,1008487640972162,0
0,1775782057241,1775782057740,4656,1008488326464037,4656,1008488326464037,0
0,1775782058174,1775782058556,4704,1008488962335026,18960,1008489259731797,1
1,1775782058669,1775782059052,4704,1008488962335026,42720,1008489754822422,1
2,1775782059139,1775782059579,4704,1008488962335026,65280,1008490224531067,1
3,1775782059644,1775782060092,4704,1008488962335026,89472,1008490729130338,1
4,1775782060149,1775782060602,4704,1008488962335026,113760,1008491234766431,1
5,1775782060655,1775782061114,4704,1008488962335026,138048,1008491740425233,1
6,1775782061160,1775782061638,4704,1008488962335026,162288,1008492245567681,1
7,1775782061664,1775782062038,4704,1008488962335026,186480,1008492749655910,1
8,1775782062171,1775782062552,4704,1008488962335026,210768,1008493256084556,1
9,1775782062676,1775782063041,4704,1008488962335026,235056,1008493761817003,1
10,1775782063131,1775782063572,4704,1008488962335026,256848,1008494216059972,1
11,1775782063332,1775782063841,4704,1008488962335026,266544,1008494417604243,0
