seq,hostTimeMs,rxWallMs,anchorFramePos,anchorTimeNs,framePos,timeNs,playing
0,1775784552631,1775784553055,4464,1010983422877720,18576,1010983716432876,1
1,1775784553157,1775784553481,4464,1010983422877720,43824,1010984242288866,1
2,1775784553596,1775784554071,4464,1010983422877720,64896,1010984681268345,1
3,1775784554101,1775784554584,4464,1010983422877720,89136,1010985186580793,1
4,1775784554606,1775784555097,4464,1010983422877720,113376,1010985691513136,1
5,1775784555109,1775784555609,4464,1010983422877720,137520,1010986194523761,1
6,1775784555614,1775784556134,4464,1010983422877720,161760,1010986699496729,1
7,1775784556120,1775784556532,4464,1010983422877720,186048,1010987204959438,1
8,1775784556624,1775784557040,4464,1010983422877720,210240,1010987709603239,1
9,1775784557130,1775784557539,4464,1010983422877720,234528,1010988215273135,1
10,1775784557635,1775784558066,4464,1010983422877720,258768,1010988720081885,1
11,1775784558140,1775784558579,4464,1010983422877720,283008,1010989225290166,1
12,1775784558595,1775784559089,4464,1010983422877720,304848,1010989680413082,1
13,1775784559101,1775784559602,4464,1010983422877720,329136,1010990186649436,1
14,1775784559604,1775784560126,4464,1010983422877720,353280,1010990689738134,1
15,1775784560109,1775784560624,4464,1010983422877720,377520,1010991194064957,1
16,1775784560664,1775784561034,4464,1010983422877720,404160,1010991749202248,1
17,1775784561120,1775784561531,4464,1010983422877720,426000,1010992204896571,1
18,1775784561625,1775784562059,4464,1010983422877720,450288,1010992710412821,1
19,1775784562128,1775784562571,4464,1010983422877720,474432,1010993213705477,1
20,1775784562634,1775784563082,4464,1010983422877720,498720,1010993719576206,1
21,1775784563139,1775784563594,4464,1010983422877720,522960,1010994224177039,1
22,1775784563593,1775784564121,4464,1010983422877720,544752,1010994677970581,1
23,1775784564097,1775784564624,4464,1010983422877720,568944,1010995182427924,1
24,1775784564602,1775784565028,4464,1010983422877720,593184,1010995687200372,1
25,1775784565107,1775784565497,4464,1010983422877720,617424,1010996192090945,1
26,1775784565611,1775784566053,4464,1010983422877720,641616,1010996696693549,1
27,1775784566116,1775784566547,4464,1010983422877720,665856,1010997201212298,1
28,1775784566620,1775784567076,4464,1010983422877720,690048,1010997705683392,1
29,1775784567126,1775784567590,4464,1010983422877720,714336,1010998211155267,1
30,1775784567631,1775784568101,4464,1010983422877720,738576,1010998716251204,1
31,1775784568136,1775784568630,4464,1010983422877720,762816,1010999220957818,1
32,1775784568591,1775784569133,4464,1010983422877720,784656,1010999676036152,1
33,1775784568691,1775784569252,4464,1010983422877720,789456,1010999776135787,0
0,1775784572299,1775784572711,4752,1011003091439379,18768,1011003384059952,1
1,1775784572803,1775784573221,4752,1011003091439379,43008,1011003888869587,1
2,1775784573264,1775784573732,4752,1011003091439379,65088,1011004349200421,1
3,1775784573768,1775784574244,4752,1011003091439379,89328,1011004853566723,1
4,1775784574272,1775784574758,4752,1011003091439379,113472,1011005356950004,1
5,1775784574776,1775784575239,4752,1011003091439379,137664,1011005861330941,1
6,1775784575281,1775784575791,4752,1011003091439379,161904,1011006366151097,1
7,1775784575785,1775784576190,4752,1011003091439379,186144,1011006870795107,1
8,1775784576289,1775784576703,4752,1011003091439379,210288,1011007374392763,1
9,1775784576795,1775784577215,4752,1011003091439379,234576,1011007880297398,1
10,1775784577299,1775784577727,4752,1011003091439379,258768,1011008384369898,1
11,1775784577804,1775784578237,4752,1011003091439379,283008,1011008889328283,1
12,1775784578259,1775784578751,4752,1011003091439379,304848,1011009344153960,1
13,1775784578461,1775784579057,4752,1011003091439379,314544,1011009546120002,0
0,1775784580253,1775784580697,4656,1011011045253543,18720,1011011337992189,1
1,1775784580760,1775784581209,4656,1011011045253543,43056,1011011844997553,1
2,1775784581218,1775784581721,4656,1011011045253543,65040,1011012303249636,1
3,1775784581721,1775784582231,4656,1011011045253543,89232,1011012806860782,1
4,1775784582127,1775784582643,4656,1011011045253543,108672,1011013212182240,0
0,1775784583149,1775784583505,4272,1011013940796198,18384,1011014234186927,1
1,1775784583650,1775784584076,4272,1011013940796198,42432,1011014735446615,1
