seq,hostTimeMs,rxWallMs,anchorFramePos,anchorTimeNs,framePos,timeNs,playing
0,1775747342347,1775747343270,4464,990810721229947,19104,990811025948124,1
1,1775747342849,1775747343765,4464,990810721229947,42864,990811520454947,1
2,1775747343347,1775747344291,4464,990810721229947,64848,990811978690363,1
3,1775747343852,1775747344791,4464,990810721229947,89088,990812484283644,1
4,1775747344347,1775747345316,4464,990810721229947,113280,990812988171561,1
5,1775747344860,1775747345761,4464,990810721229947,137520,990813493088435,1
6,1775747345347,1775747346389,4464,990810721229947,161760,990813997437602,1
7,1775747345847,1775747346772,4464,990810721229947,185952,990814502279581,1
8,1775747346347,1775747347384,4464,990810721229947,210240,990815008047289,1
9,1775747346854,1775747347794,4464,990810721229947,234480,990815513073643,1
10,1775747347347,1775747348285,4464,990810721229947,258768,990816018597705,1
11,1775747347847,1775747348796,4464,990810721229947,283056,990816524506038,1
12,1775747348349,1775747349310,4464,990810721229947,304896,990816979698538,1
13,1775747348847,1775747349786,4464,990810721229947,329232,990817486506923,1
14,1775747349347,1775747350333,4464,990810721229947,353424,990817990605621,1
15,1775747349847,1775747350777,4464,990810721229947,377712,990818496900413,1
16,1775747350347,1775747351417,4464,990810721229947,401952,990819001885777,1
17,1775747350847,1775747351774,4464,990810721229947,426144,990819505920985,1
18,1775747351347,1775747352284,4464,990810721229947,450384,990820010750256,1
19,1775747351847,1775747352769,4464,990810721229947,474624,990820515778224,1
20,1775747352347,1775747353259,4464,990810721229947,498768,990821019152235,1
21,1775747352847,1775747353772,4464,990810721229947,522960,990821523338484,1
22,1775747353347,1775747354328,4464,990810721229947,544848,990821978908172,1
23,1775747353847,1775747354774,4464,990810721229947,569040,990822483111505,1
24,1775747354349,1775747355375,4464,990810721229947,593328,990822988496713,1
25,1775747354849,1775747355770,4464,990810721229947,617616,990823494671296,1
26,1775747355347,1775747356280,4464,990810721229947,641856,990823999652181,1
27,1775747355848,1775747356795,4464,990810721229947,666000,990824502923587,1
28,1775747356347,1775747357298,4464,990810721229947,690288,990825009012337,1
29,1775747356848,1775747357774,4464,990810721229947,714576,990825515230358,1
30,1775747357349,1775747358322,4464,990810721229947,738864,990826020990045,1
31,1775747357847,1775747358779,4464,990810721229947,760704,990826475548118,1
32,1775747358348,1775747359374,4464,990810721229947,784944,990826980943066,1
33,1775747358849,1775747359768,4464,990810721229947,809184,990827485888586,1
34,1775747359349,1775747360389,4464,990810721229947,833376,990827989968274,1
35,1775747359849,1775747360776,4464,990810721229947,857616,990828494408898,1
36,1775747360349,1775747361273,4464,990810721229947,881808,990828998850617,1
37,1775747360849,1775747361773,4464,990810721229947,906048,990829503507023,1
38,1775747361347,1775747362316,4464,990810721229947,930192,990830006947231,1
39,1775747361848,1775747362774,4464,990810721229947,954384,990830510687960,1
40,1775747362348,1775747363339,4464,990810721229947,978672,990831017269574,1
41,1775747362848,1775747363773,4464,990810721229947,1002912,990831522132751,1
42,1775747363349,1775747364378,4464,990810721229947,1024752,990831976674210,1
43,1775747363847,1775747364781,4464,990810721229947,1049040,990832482384574,1
44,1775747364349,1775747365280,4464,990810721229947,1073232,990832987301605,1
45,1775747364847,1775747365769,4464,990810721229947,1097520,990833493271813,1
46,1775747365349,1775747366308,4464,990810721229947,1121808,990833998967334,1
47,1775747365847,1775747366780,4464,990810721229947,1146096,990834504866500,1
48,1775747366348,1775747367333,4464,990810721229947,1170336,990835009965927,1
49,1775747366847,1775747367778,4464,990810721229947,1194528,990835514231396,1
50,1775747367349,1775747368378,4464,990810721229947,1218816,990836019639833,1
51,1775747367855,1775747368778,4464,990810721229947,1243008,990836523945041,1
52,1775747368349,1775747369281,4464,990810721229947,1264800,990836977375978,1
53,1775747368847,1775747369773,4464,990810721229947,1289040,990837482688843,1
54,1775747369348,1775747370274,4464,990810721229947,1313232,990837986855874,1
55,1775747369849,1775747370773,4464,990810721229947,1337424,990838490853009,1
56,1775747370348,1775747371326,4464,990810721229947,1361712,990838997092176,1
57,1775747370848,1775747371776,4464,990810721229947,1385904,990839501150300,1
58,1775747371349,1775747372379,4464,990810721229947,1410144,990840006199936,1
59,1775747371849,1775747372773,4464,990810721229947,1434384,990840511163321,1
60,1775747372347,1775747373378,4464,990810721229947,1458672,990841016959467,1
61,1775747372849,1775747373802,4464,990810721229947,1482960,990841523121654,1
