seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,event
0,1777353400468,0,host,0.00,0.00,1777353400125,0.0,0,0,0,host_state_sync_sent
1,1777353400469,0,host,0.00,0.00,1777353400125,0.0,0,0,0,host_play
2,1777353400621,1777353402271,192.168.35.90:57924,0.00,0.00,1777353400125,-1872.6,0,0,0,guest_start
3,1777353400661,1777353402271,192.168.35.90:57924,0.00,0.00,1777353400125,-1872.6,0,0,0,host_state_sync_recv
4,1777353400662,1777353402477,192.168.35.90:57924,-467.77,-467.77,1777353400125,-1872.6,0,512,0,fallback
5,1777353401230,1777353403069,192.168.35.90:57924,35.85,35.85,1777353400923,-1870.1,20256,34709,0,fallback
6,1777353401831,1777353403667,192.168.35.90:57924,-17.35,-17.35,1777353401427,-1870.1,42336,58504,0,fallback
7,1777353402343,1777353404168,192.168.35.90:57924,-39.24,-39.24,1777353401924,-1867.8,64992,80520,0,fallback
8,1777353402846,1777353404669,192.168.35.90:57924,-23.61,-23.61,1777353402378,-1867.8,86400,104707,0,fallback
9,1777353403430,1777353405266,192.168.35.90:57924,-16.23,-16.23,1777353402885,-1865.7,108384,131075,0,fallback
10,1777353403931,1777353405768,192.168.35.90:57924,-8.78,-8.78,1777353403391,-1865.7,130464,153347,0,fallback
11,1777353404429,1777353406269,192.168.35.90:57924,-9.75,-9.75,1777353403895,-1863.8,152544,175363,0,fallback
12,1777353405030,1777353406866,192.168.35.90:57924,3.68,3.68,1777353404904,-1863.8,196608,201731,0,fallback
13,1777353405531,1777353407368,192.168.35.90:57924,3.60,3.60,1777353405410,-1861.9,218688,223747,0,fallback
14,1777353406032,1777353407869,192.168.35.90:57924,9.35,9.35,1777353405913,-1861.9,240768,246019,0,fallback
15,1777353406665,1777353408466,192.168.35.90:57924,16.77,16.77,1777353406419,-1860.2,262752,272387,0,fallback
16,1777353407197,1777353408968,192.168.35.90:57924,16.43,16.43,1777353406923,-1860.2,284832,294403,0,fallback
17,1777353407631,1777353409469,192.168.35.90:57924,-31.87,-31.87,1777353407379,-1858.7,306912,316419,0,fallback
