seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,out_lat_host_raw,out_lat_guest_raw,out_lat_delta_current,out_lat_delta_anchored,raw_offset_ms,win_min_raw_offset_ms,last_rtt_ms,win_min_rtt_ms,decode_load_ms,decode_total_frames,decode_throughput_fpms,seek_msg_seq,event
0,1780654774534,0,host,0.00,0.00,1780654774534,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,174,34561152,198627.31,0,decode_load
1,1780654793913,0,192.168.35.220:60968,0.00,0.00,1780654793913,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,128,34561152,270009.00,0,decode_load
2,1780654794357,0,host,0.00,0.00,1780654794139,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0.00,0,host_play
3,1780654795029,1780654794487,192.168.35.220:60968,0.00,0.00,1780654794826,522219968.0,22687,0,0,0.00,0.00,0.00,0.00,522219961.0,522219968.0,19,15,0,0,0.00,0,guest_start
4,1780654795055,1780654794713,192.168.35.220:60968,0.00,0.00,1780654794826,522219968.0,22687,1380,0,0.00,0.00,0.00,0.00,522219961.0,522219968.0,19,15,0,0,0.00,0,anchor_set
5,1780654795109,1780654794784,192.168.35.220:60968,0.95,-5.26,1780654794826,522219968.0,22687,35738,0,6.62,7.78,1.16,2.11,522219961.0,522219968.0,19,15,0,0,0.00,0,drift
6,1780654795775,1780654795385,192.168.35.220:60968,0.66,-5.26,1780654795328,522219968.0,46792,64561,0,6.79,8.24,1.45,2.11,522219961.0,522219968.0,19,15,0,0,0.00,0,drift
7,1780654796313,1780654795942,192.168.35.220:60968,-0.43,-5.26,1780654795834,522219968.0,71100,91370,0,7.21,9.75,2.55,2.11,522219961.0,522219968.0,19,15,0,0,0.00,0,drift
8,1780654796864,1780654796446,192.168.35.220:60968,1.38,-5.25,1780654796338,522219968.0,95318,115549,0,7.73,8.46,0.73,2.11,522219961.0,522219968.0,19,15,0,0,0.00,0,drift
9,1780654797391,1780654796951,192.168.35.220:60968,-0.33,-5.26,1780654796760,522219968.0,115540,139789,0,7.04,9.49,2.45,2.11,522219961.0,522219968.0,19,15,0,0,0.00,0,drift
10,1780654797857,1780654797455,192.168.35.220:60968,1.16,-4.25,1780654797264,522219968.0,139694,163968,0,6.25,8.20,1.96,2.11,522219960.0,522219968.0,28,15,0,0,0.00,0,drift
11,1780654798337,1780654797960,192.168.35.220:60968,-0.40,-5.25,1780654797770,522219968.0,164010,188215,0,6.83,9.35,2.52,2.11,522219960.0,522219968.0,28,15,0,0,0.00,0,drift
12,1780654798859,1780654798465,192.168.35.220:60968,0.21,-4.93,1780654798276,522219967.7,188281,212472,0,6.50,8.70,2.21,2.11,522219965.0,522219965.0,11,11,0,0,0.00,0,drift
