wall_ms,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,event
1777347474026,192.168.35.90:57842,-3.18,-13.41,1777347471783,-1829.5,1476768,1495133,0,drift
1777347474527,192.168.35.90:57842,-4.39,-7.20,1777347472289,-1829.5,1498944,1517405,0,drift
1777347475028,192.168.35.90:57842,1.43,-1.74,1777347472795,-1829.5,1520928,1539165,0,drift
1777347475626,192.168.35.90:57842,-0.94,5.21,1777347473299,-1829.6,1543008,1565789,0,drift
1777347476127,192.168.35.90:57842,-2.49,-45.84,1777347473752,-1829.6,1565088,1587805,0,drift
1777347476629,192.168.35.90:57842,1.50,-35.66,1777347474259,-1829.6,1587072,1609821,0,drift
1777347477226,192.168.35.90:57842,-1.00,-20.86,1777347475271,-1829.6,1631232,1636445,0,drift
1777347477728,192.168.35.90:57842,-2.20,-21.65,1777347475775,-1829.6,1653312,1658461,0,drift
1777347478324,192.168.35.90:57842,-0.60,-9.89,1777347476280,-1829.6,1675200,1684829,0,drift
1777347478826,192.168.35.90:57842,-1.77,-13.88,1777347476280,-1829.7,1675200,1706845,0,drift
1777347479327,192.168.35.90:57842,-1.45,-1.67,1777347477289,-1829.7,1719360,1729117,0,drift
1777347479828,192.168.35.90:57842,-4.46,-2.37,1777347477794,-1829.7,1741440,1751133,0,drift
1777347480426,192.168.35.90:57842,-0.95,4.09,1777347478297,-1829.7,1763520,1777501,0,drift
1777347480927,192.168.35.90:57842,-2.65,-45.60,1777347478752,-1829.7,1785600,1799517,0,drift
1777347481428,192.168.35.90:57842,3.74,-33.67,1777347479259,-1829.7,1807584,1821533,0,drift
1777347482026,192.168.35.90:57842,-0.98,-32.33,1777347479763,-1829.8,1829568,1847901,0,drift
1777347482528,192.168.35.90:57842,-1.96,-29.28,1777347480266,-1829.8,1851744,1870173,0,drift
1777347483124,192.168.35.90:57842,-0.39,-17.60,1777347480771,-1829.8,1873632,1896541,0,drift
1777347483626,192.168.35.90:57842,-2.48,-19.91,1777347481276,-1829.8,1895808,1918557,0,drift
1777347484127,192.168.35.90:57842,-4.47,-20.34,1777347481780,-1829.8,1917888,1940573,0,drift
1777347484634,192.168.35.90:57842,-2.05,-6.43,1777347482286,-1829.8,1939872,1963101,0,drift
1777347485226,192.168.35.90:57842,-2.19,1.96,1777347483296,-1829.8,1984032,1989213,0,drift
1777347485728,192.168.35.90:57842,-2.67,-44.37,1777347483752,-1829.8,2006016,2011229,0,drift
1777347486228,192.168.35.90:57842,3.60,-40.16,1777347484258,-1829.8,2028096,2032989,0,drift
1777347486826,192.168.35.90:57842,-2.00,-33.29,1777347484764,-1829.9,2050176,2059613,0,drift
1777347487327,192.168.35.90:57842,-2.01,-26.27,1777347485268,-1829.9,2072256,2081885,0,drift
1777347487829,192.168.35.90:57842,1.22,-27.60,1777347485773,-1829.9,2094336,2103645,0,drift
1777347488427,192.168.35.90:57842,-1.48,-17.03,1777347486278,-1829.9,2116320,2130269,0,drift
1777347488928,192.168.35.90:57842,-3.70,-13.75,1777347486784,-1830.0,2138304,2152285,0,drift
1777347489525,192.168.35.90:57842,2.28,-4.50,1777347487290,-1830.0,2160480,2178653,0,drift
1777347490027,192.168.35.90:57842,1.63,-2.32,1777347487290,-1830.1,2160480,2200925,0,drift
1777347490527,192.168.35.90:57842,-1.83,-46.34,1777347488249,-1830.1,2204544,2222941,0,drift
1777347491029,192.168.35.90:57842,3.23,-43.05,1777347488755,-1830.2,2226528,2244701,0,drift
1777347491626,192.168.35.90:57842,-0.54,-37.06,1777347489258,-1830.3,2248608,2271325,0,drift
1777347492128,192.168.35.90:57842,-2.52,-30.91,1777347489763,-1830.3,2270688,2293597,0,drift
1777347492630,192.168.35.90:57842,1.04,-28.41,1777347490269,-1830.3,2292672,2315357,0,drift
1777347493226,192.168.35.90:57842,-0.58,-16.66,1777347491279,-1830.3,2336928,2341981,0,drift
1777347493728,192.168.35.90:57842,-2.39,-13.06,1777347491785,-1830.3,2358912,2363997,0,drift
1777347494229,192.168.35.90:57842,0.40,-6.47,1777347492289,-1830.3,2380896,2386013,0,drift
1777347494826,192.168.35.90:57842,-1.57,-8.30,1777347492289,-1830.3,2380896,2412381,0,drift
